environment,optimizer_seed,baseline_episode_return,full_method_episode_return,episode_return_difference,baseline_LowerLFDriftAbs,full_method_LowerLFDriftAbs,relative_drift_reduction,selected_branch,reconstruction_rms_max,baseline_checkpoint_match
Hopper-v5,2768496775,173.11477182517555,173.11477182517555,0.0,0.10401160659927329,0.046100044485310035,0.5567798057103357,no_leakage,1.6553153327740908e-08,True
Hopper-v5,844758473,337.64836826691044,337.64836826691044,0.0,0.07591177967748845,0.04211552315912006,0.4452043762108061,no_leakage,1.6011599328850956e-08,True
Hopper-v5,681257194,171.33046471802876,168.79997850729575,-2.5304862107330166,0.060233454051329474,0.005156405597951809,0.9143929950695232,reward_guarded_adam_projection,1.4817038010872545e-08,True
Hopper-v5,1978663101,295.1494173308562,295.1494173308562,0.0,0.023265191826012048,0.020363774045640742,0.12471067516096412,no_leakage,1.3504638740299515e-08,True
Hopper-v5,3049442218,173.16107778925317,305.5581030220258,132.39702523277265,0.08078537281594045,0.01221153560465581,0.8488397691438734,reward_guarded_adam_projection,1.3082884826437642e-08,True
Hopper-v5,661891628,167.0589065740261,176.94968141922692,9.89077484520081,0.031024159706588228,0.010873714428172965,0.6495081726302535,reward_guarded_adam_projection,1.4666941006560642e-08,True
Hopper-v5,1380702675,170.57857059140005,173.69268786992993,3.114117278529875,0.1441050573606198,0.006520675133640264,0.9547505462121123,reward_guarded_adam_projection,1.2473175374769302e-08,True
Hopper-v5,3803331401,171.3279315438322,171.02093925527046,-0.3069922885617302,0.12296476667156393,0.006382773472095852,0.9480926638998626,reward_guarded_adam_projection,1.6266947195055722e-08,True
Hopper-v5,640779130,172.04430082039093,173.65835730459608,1.6140564842051504,0.12200121373382307,0.012628400106931443,0.8964895535016272,reward_guarded_adam_projection,9.44602124680841e-09,True
Hopper-v5,2570816311,215.35892164524648,293.53275342570413,78.17383178045765,0.11179237220820185,0.008604371588103631,0.9230325699495948,reward_guarded_adam_projection,1.1342398727579363e-08,True
Hopper-v5,4025270303,169.47122832576247,170.2359275877747,0.7646992620122433,0.10816522062748066,0.0041580570517454245,0.9615582806781701,reward_guarded_adam_projection,1.397300354005823e-08,True
Walker2d-v5,3760743984,202.15922077865827,274.57387622809995,72.41465544944168,0.0910951698841462,0.002060369417268626,0.9773822320119828,scalarized,1.7787077183603352e-08,True
Walker2d-v5,3694979909,293.5451254826029,296.9990678426122,3.4539423600093073,0.03881738545279266,0.0027957472682206613,0.9279769300376843,scalarized,1.790084901700524e-08,True
Walker2d-v5,389202265,302.18521070417876,302.18521070417876,0.0,0.050671751260394096,0.012040226969172957,0.762387786692034,no_leakage,1.7382353760980997e-08,True
Walker2d-v5,4051790486,226.05581875820764,256.98129686843373,30.925478110226095,0.05437064670644535,0.003465308725958681,0.9362650816962255,reward_guarded_adam_projection,1.8203252543976684e-08,True
Walker2d-v5,1653209591,297.68895158785045,297.68895158785045,0.0,0.1985767795202296,0.05046919040973533,0.7458454582067895,no_leakage,1.5444801547743507e-08,True
Walker2d-v5,2850251129,227.93216842777156,320.02198741905715,92.0898189912856,0.07116130370936166,0.004790271166900768,0.9326843253678252,reward_guarded_adam_projection,1.7484143429575663e-08,True
Walker2d-v5,914719826,224.5083972189945,287.2054440455925,62.69704682659801,0.10511174067297184,0.002391977380806113,0.9772434804571628,scalarized,1.8719825377762787e-08,True
Walker2d-v5,223202612,278.2045352403282,278.2045352403282,0.0,0.06811259034246549,0.009624206774740802,0.8587015010536093,no_leakage,1.8505267564491838e-08,True
Walker2d-v5,4262194313,311.23641130110855,311.23641130110855,0.0,0.04930716934771447,0.008177729884876975,0.834147244851807,no_leakage,1.937151884598146e-08,True
Walker2d-v5,2726429378,265.82918388418256,282.2391010058556,16.40991712167306,0.048700916367845716,0.00247955557064186,0.9490860592455101,reward_guarded_adam_projection,1.834302198558105e-08,True
Walker2d-v5,3703719678,250.33211686792365,250.33211686792365,0.0,0.06361181339122747,0.009687016802283442,0.8477167009419142,no_leakage,1.8377724933943586e-08,True
Walker2d-v5,3019160601,305.2034115835603,305.2034115835603,0.0,0.07949721642631263,0.012874787897762696,0.8380473118867431,no_leakage,2.0574533973247792e-08,True
Walker2d-v5,2250225306,154.89771011163143,235.55161539241323,80.6539052807818,0.049520166959216724,0.0016428281254845718,0.9668250689292394,scalarized,1.8911775712785665e-08,True
Walker2d-v5,2768496775,201.44531275827572,233.14372200950666,31.69840925123094,0.07352667607755996,0.0030489697941448214,0.9585324679857878,reward_guarded_adam_projection,1.918233049255025e-08,True
Walker2d-v5,844758473,245.29625174502044,306.68368600536587,61.38743426034543,0.04585153332312962,0.0032572958441831187,0.9289599363836326,scalarized,1.882566177576715e-08,True
Walker2d-v5,681257194,314.2537246650995,314.2537246650995,0.0,0.03201716792858028,0.007027993007771498,0.7804929835315657,no_leakage,1.7967025022666485e-08,True
Walker2d-v5,1978663101,214.28691590567252,294.6293579687989,80.34244206312638,0.05248484402950202,0.0018905084969988775,0.9639799158794068,scalarized,1.8581213756569125e-08,True
Walker2d-v5,3049442218,265.1933073275352,265.1933073275352,0.0,0.025779367378472966,0.003924107784123535,0.8477810674516257,no_leakage,1.9510036900496875e-08,True
Walker2d-v5,661891628,163.3246871505525,203.74964771639907,40.42496056584656,0.08851069631560678,0.0010300982411900806,0.9883618784613668,scalarized,1.82759171938258e-08,True
Walker2d-v5,1380702675,218.71489168652988,328.4505488392885,109.73565715275862,0.09138126288544357,0.006861657458086837,0.9249117681084286,reward_guarded_adam_projection,1.7772955775435226e-08,True
Walker2d-v5,3803331401,225.3615603709753,284.64186430573784,59.28030393476254,0.06262542754017522,0.002182933145544827,0.9651430220712754,scalarized,1.888602624898444e-08,True
Walker2d-v5,640779130,287.8241337112585,297.0674621014872,9.243328390228669,0.062005984835534655,0.005170782126997121,0.9166083380384626,reward_guarded_adam_projection,1.933762721757266e-08,True
Walker2d-v5,2570816311,258.5279924408193,261.4250628843236,2.897070443504333,0.0429941172502155,0.003659677139879666,0.9148795841398204,reward_guarded_adam_projection,1.883509391204888e-08,True
Walker2d-v5,4025270303,275.4923777340144,275.4923777340144,0.0,0.02442678394587726,0.00341266655543793,0.8602899766502451,no_leakage,1.882309244544541e-08,True
