baseline,seed,total_return,mean_reward,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,promotion_count,promotion_delay,UpperHFPower,LowerLFDrift,FocusScore,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain
freq_hrl,42,0.24695710783842695,0.0003066663082013302,15.543638710371082,27.557087338952886,0.009761186497970864,25.299906716234126,7.340916949421437,0.04404550169652862,2.8648162812820464e-05,0.0006037066687380216,0.07244480024856259,212,319.0,0.0019494095895161963,1.8118674548300144,0.9117943448265949,0.00035,0.2,0.0,0.25
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.00035,0.2,0.0,0.25
freq_hrl,123,0.20717438203782979,0.00026164737335556743,12.844710895233765,29.796285888085066,0.02840599108180064,7.293334052004395,8.481753762187914,0.05089052257312749,1.9757492610903604e-05,0.0004646095376855639,0.055753144522267664,319,146.0,0.0028962909618645925,1.6252289169651573,0.9171833438497405,0.00035,0.2,0.0,0.25
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.00035,0.2,0.0,0.25
freq_hrl,456,0.2697187066597775,0.0003318053526787545,16.919039297893693,27.600862254982083,0.005547187103036588,48.62260847702985,6.661933884062309,0.039971603304373854,2.4188438899279645e-05,0.0005536843414024686,0.06644212096829623,301,101.0,0.0012383368463104972,1.8480374493342209,0.7752467570020091,0.00035,0.2,0.0,0.25
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.00035,0.2,0.0,0.25
freq_hrl,789,0.2571938398997413,0.00031803562001138624,17.676058759962398,42.95770073912298,0.005244054862887482,49.044841563332774,5.572111698509792,0.03343267019105875,1.1625840887645559e-05,0.0004962384357616222,0.05954861229139466,66,-1.0,0.000686112338993676,1.7785986691703548,0.7905226888731952,0.00035,0.2,0.0,0.25
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.00035,0.2,0.0,0.25
freq_hrl,2026,0.23402835490316543,0.0002921846135839397,14.845923130558871,25.202625769159475,0.010306373317134132,22.70714903312285,7.698566649720904,0.04619139989832542,2.9237032001421347e-05,0.0004022619557167149,0.04827143468600579,259,21.0,0.0022319857784953516,1.774704692253895,0.9067635737518125,0.00035,0.2,0.0,0.25
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.00035,0.2,0.0,0.25
freq_hrl,42,0.24474532770749335,0.00030419934489896297,15.276092598512786,26.806369197701812,0.01071986079851861,22.83101733385521,7.527290223062285,0.045163741338373704,3.0210197256692094e-05,0.0006066596261383818,0.07279915513660581,190,319.0,0.0025216239316711883,1.7238260335036129,0.9031305481141156,0.00035,0.2,0.0,0.5
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.00035,0.2,0.0,0.5
