baseline,seed,total_return,mean_reward,base_mean_reward,leakage_reward_penalty,leakage_reward_penalty_total,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,recovery_cost_120,promotion_count,promotion_delay,PromotionDelay,ShockResponseTime,regime_promotion_accuracy,regime_promotion_precision,regime_promotion_recall,UpperHFPower,LowerLFDrift,FocusScore,freq_attr_n,freq_attr_high_component_pnl,freq_attr_high_component_pnl_total,freq_attr_high_frequency_cost,freq_attr_high_frequency_cost_total,freq_attr_leakage_cost,freq_attr_leakage_cost_total,freq_attr_low_component_pnl,freq_attr_low_component_pnl_total,freq_attr_low_frequency_cost,freq_attr_low_frequency_cost_total,freq_attr_lower_credit,freq_attr_lower_credit_total,freq_attr_promotion_adaptation_cost,freq_attr_promotion_adaptation_cost_total,freq_attr_task_reward,freq_attr_task_reward_total,freq_attr_upper_credit,freq_attr_upper_credit_total,scenario,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain
freq_hrl,42,0.25535323538457555,0.0002203475408101144,0.0003160039250713092,8.673744888730696e-05,0.06245096319886101,14.745566789360586,28.252555573520493,0.01706255545432578,14.96570874556995,11.502459489278284,0.06901475693566969,3.412136098874887e-05,0.0007195340675611257,0.08634408810733508,0.0015615806642755741,627,0.0,0.0,21.294573643410853,0.5775,0.19138755980861244,1.0,0.0049384731811751206,1.5979344371491524,0.9393965368521375,720.0,1.485871553293355e-06,0.0010698275183712155,0.00023825320740277959,0.1715423093300013,8.673744888730696e-05,0.06245096319886101,0.00041044012531731233,0.2955168902284649,1.5782230303832078e-06,0.0011363205818759096,-0.0002816219318464331,-0.2027677909294318,8.918935373887769e-06,0.006421633469199194,0.0003160039250713092,0.2275228260513426,-5.386588284792445e-05,-0.038783435650505606,persistent_shift,0.0002,0.15,0.0,0.1
no_promotion,42,0.25273513231897815,0.00021646624237880294,0.00031309340385896766,9.662716148016475e-05,0.06957155626571862,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0.0005561971879707826,0,-1.0,-1.0,43.45614035087719,0.5,0.0,0.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,720.0,-3.093199240213411e-06,-0.0022271034529536557,0.00018536550533686887,0.13346316384254558,9.662716148016475e-05,0.06957155626571862,0.00036655321785543116,0.26391831685591044,9.770075556646861e-07,0.000703445440078574,-0.00023367908607695121,-0.16824894197540488,0.0,0.0,0.00031309340385896766,0.2254272507784567,-4.929058829574706e-05,-0.035489223572937885,persistent_shift,0.0002,0.15,0.0,0.1
freq_hrl,123,0.1967725336631856,0.00016008916100283685,0.0002496217863043233,8.262341159016719e-05,0.05948885634492038,12.135840654378066,27.608170571547497,0.028616956515082448,6.876081792956475,11.15268738993192,0.06691612433959153,2.274574993718178e-05,0.00042383084518936293,0.05085970142272355,0.002677297988428572,626,0.0,0.0,11.625,0.3933333333333333,0.13258785942492013,0.6916666666666667,0.00434660779307417,1.4678961775295107,0.8828350355709604,720.0,6.206143193864669e-06,0.004468423099582562,0.000212506439586081,0.15300463650197832,8.262341159016719e-05,0.05948885634492038,0.000336400196193099,0.24220814125903126,9.173948089530988e-06,0.006605242624462311,-0.0002538181453811646,-0.1827490646744385,6.909213711319214e-06,0.004974633872149834,0.0002496217863043233,0.17972768613911277,-5.7394867595933796e-05,-0.04132430466907233,persistent_shift,0.0002,0.15,0.0,0.1
no_promotion,123,0.2269531253127064,0.00018969620171104554,0.0002842069101209338,9.451070840988836e-05,0.06804771005511961,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123129,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359293,0.06059639416031151,0.0015922761665999796,0,-1.0,-1.0,40.38095238095238,0.5,0.0,0.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,720.0,1.1108067063672403e-05,0.00799780828584413,0.00015332918981051568,0.1103970166635713,9.451070840988836e-05,0.06804771005511961,0.00032449724855811336,0.2336380189618416,4.903893732539008e-06,0.0035308034874280856,-0.00020058454401545987,-0.1444208716911311,0.0,0.0,0.0002842069101209338,0.20462897528707236,-5.215924793748318e-05,-0.03755465851498789,persistent_shift,0.0002,0.15,0.0,0.1
freq_hrl,456,0.26177230574663923,0.00022501976011892147,0.00032309037601305625,9.028351495921812e-05,0.06500413077063705,15.672661221607148,27.253761074936538,0.007662778218880728,34.16154014501483,9.926547106168574,0.05955928263701145,2.7755211948127747e-05,0.0006276181341957408,0.0753141761034889,0.0036963034865295638,666,0.0,0.0,19.92063492063492,0.545,0.18018018018018017,1.0,0.0029783614435664237,1.6651797201788083,0.8312582525541766,720.0,1.8443854836541725e-05,0.013279575482310041,0.00022151601817096722,0.1594915330830964,9.028351495921812e-05,0.06500413077063705,0.0003874232574851489,0.2789447453893072,3.720827676922145e-06,0.0026789959273839444,-0.0002666577756505763,-0.19199359846841496,7.78710093491662e-06,0.005606712673139967,0.00032309037601305625,0.2326250707294005,-5.6649686091447834e-05,-0.04078777398584244,persistent_shift,0.0002,0.15,0.0,0.1
no_promotion,456,0.2730014088396442,0.00023774295989176808,0.00033539411860258634,9.765115871081823e-05,0.07030883427178912,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592478,0.06712631513510973,0.002005596770912012,0,-1.0,-1.0,238.27659574468086,0.5,0.0,0.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,720.0,2.114824834256006e-05,0.015226738806643242,0.00017936963335487763,0.1291461360155119,9.765115871081823e-05,0.07030883427178912,0.0003631150260276316,0.2614428187398948,1.6668280933292542e-06,0.001200116227197063,-0.0002281952127102868,-0.1643005531514065,0.0,0.0,0.00033539411860258634,0.24148376539386215,-5.049240744873836e-05,-0.03635453336309162,persistent_shift,0.0002,0.15,0.0,0.1
freq_hrl,789,0.2478922445179106,0.0002229416450874236,0.00030771192715443906,8.207090184105529e-05,0.05909104932555981,17.189889788775407,40.27572678514113,0.0048350984967316935,51.26932671288382,7.6498234000331315,0.04589894040019879,1.4185956893804132e-05,0.00048795762151619497,0.058554914581943396,0.0015472340208028679,554,0.0,0.0,24.403508771929825,0.19833333333333333,0.05776173285198556,0.26666666666666666,0.002474346537332136,1.5218388988077247,0.8878928083811529,720.0,2.6871756304129504e-06,0.0019347664538973243,0.00018435607511635204,0.13273637408377348,8.207090184105529e-05,0.05909104932555981,0.00036880165177142316,0.2655371892754247,0.0,0.0,-0.00022539152603687974,-0.1622818987465534,2.6993802259602208e-06,0.001943553762691359,0.00030771192715443906,0.2215525875511961,-4.373483114648787e-05,-0.031489078425471266,persistent_shift,0.0002,0.15,0.0,0.1
no_promotion,789,0.25765937993758525,0.0002260140119535206,0.00031855003555950116,9.253602360598057e-05,0.066625936996306,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867515,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0.0016450290578218219,0,-1.0,-1.0,117.46236559139786,0.5,0.0,0.0,0.0006778850477363693,1.7800795511179326,0.7966803268189747,720.0,-7.331105397256376e-07,-0.0005278395886024591,0.00017022245738699732,0.12256016931863807,9.253602360598057e-05,0.066625936996306,0.00036555564453908475,0.263200064068141,1.3984921036069883e-06,0.0010069143145970316,-0.0002164904691899876,-0.15587313781679107,0.0,0.0,0.00031855003555950116,0.22935602560284085,-4.766650390659728e-05,-0.034319882812750044,persistent_shift,0.0002,0.15,0.0,0.1
freq_hrl,2026,0.2358007296027651,0.00019902680747854558,0.0002941745057103691,8.720654999181058e-05,0.06278871599410361,14.699143553242525,25.82228704316929,0.006563603290326903,35.92549993846763,11.684841317094609,0.07010904790256764,3.364169922059868e-05,0.00047999129123890607,0.05759895494866873,0.00369066188714808,691,0.0,0.0,8.0,0.5241666666666667,0.1736613603473227,1.0,0.005145317424785666,1.6071674167827124,0.9032168988466001,720.0,8.176407310786073e-06,0.005887013263765973,0.00023010788595234272,0.16567767788568677,8.720654999181058e-05,0.06278871599410361,0.0003834390594404793,0.2760761227971451,3.2521395636220405e-06,0.0023415404858078692,-0.00027371116094824805,-0.19707203588273858,7.941148240012881e-06,0.005717626732809274,0.0002941745057103691,0.21180564411146574,-5.479656279954021e-05,-0.03945352521566895,persistent_shift,0.0002,0.15,0.0,0.1
no_promotion,2026,0.20279123377142816,0.00015870430113972773,0.0002565642353251427,9.785993418541495e-05,0.07045915261349876,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0.0013745716242169962,0,-1.0,-1.0,72.32183908045977,0.5,0.0,0.0,0.0008615836975503701,1.9244111161887167,0.9015014046542771,720.0,5.22324556191436e-06,0.003760736804578339,0.0001708745099013736,0.12302964712898899,9.785993418541495e-05,0.07045915261349876,0.00030571288828261844,0.22011327956348528,1.2187946805963962e-05,0.008775321700294053,-0.0002198044769940811,-0.1582592234357384,0.0,0.0,0.0002565642353251427,0.18472624943410274,-6.111791389867144e-05,-0.044004898007043436,persistent_shift,0.0002,0.15,0.0,0.1
