seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
971,native_promotion_replan,supported_native_episode_loop,-8913.529,5.936,0.551,-7.038,135.0,0.4847328244274809,342.27825503111944,10.399903917990326,-43.76335877862596,6.499362342261796,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11648.551379394532
981,native_promotion_replan,supported_native_episode_loop,-12033.236,5.45,0.3969,-6.2438,141.0,0.4618320610687023,340.44163226981203,4.9682640571571115,-44.12213740458015,5.392987956191243,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57768.06586914063
1221,native_promotion_replan,supported_native_episode_loop,-2906.779,6.386,0.3663,-7.1186,134.0,0.48854961832061067,342.2959004013896,5.839864442175206,-44.43511450381679,4.479979615277405,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25797.733612060547
1251,native_promotion_replan,supported_native_episode_loop,-11820.509,5.114,0.1855,-5.484999999999999,192.0,0.26717557251908397,334.20483134466275,7.737643455412793,-44.31297709923664,4.7600179123815405,0.3846153846153846,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84997.84365234376
1401,native_promotion_replan,supported_native_episode_loop,-2785.493,4.617,0.4471,-5.5112,147.0,0.4389312977099237,338.5071950470218,5.495656138435821,-44.412213740458014,4.552275211712267,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.51753797531128
241,native_learned_gate,supported_native_episode_loop,-2795.758,8.528,0.4779,-9.4838,66.0,0.7480916030534351,326.2204476761757,6.993642813708924,-44.38931297709924,4.640631240103601,1.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11354.89609375
291,native_learned_gate,supported_native_episode_loop,-11423.6,5.475,0.4932,-6.461399999999999,66.0,0.7480916030534351,346.6426225523154,5.392163728565945,-44.42748091603053,4.483269210578515,0.0,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47669.23837890625
301,native_learned_gate,supported_native_episode_loop,-3047.724,6.194,0.5402,-7.2744,66.0,0.7480916030534351,348.8121605379393,12.077030398687972,-32.01526717557252,19.80341736752609,0.5384615384615384,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.306150817871
361,native_learned_gate,supported_native_episode_loop,-3028.322,5.679,0.3388,-6.3566,66.0,0.7480916030534351,334.7753805159309,4.991025132161882,-44.469465648854964,4.372561796136647,0.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.2847038269043
371,native_learned_gate,supported_native_episode_loop,-2622.083,8.455,0.3905,-9.236,66.0,0.7480916030534351,345.3633993568463,7.169327529721289,-44.25190839694657,4.982172050697761,0.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4697.750449371338
411,native_learned_gate,supported_native_episode_loop,-20669.855,16.567,0.4115,-17.39,66.0,0.7480916030534351,337.46087533231616,9.737626935370631,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53242.7689453125
431,native_learned_gate,supported_native_episode_loop,-9109.401,5.042,0.4311,-5.9041999999999994,66.0,0.7480916030534351,338.9917771395532,9.11837662397596,-44.51145038167939,4.239700429093315,1.0,4972.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19123.39324951172
551,native_learned_gate,supported_native_episode_loop,-2711.034,6.569,0.4923,-7.5536,66.0,0.7480916030534351,342.91766638714853,6.692828989668908,-44.034351145038165,4.784154363723417,0.9732971731083759,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9876.961445617675
