ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy
10,Warmup,6.3,0.8,7.379,12,0.4605,-3060.577,1293.576,4970,0,-20.7,16.34,-59.35,50.58,-0.6158,0.3737,-9.931103706359863,1.9270000457763672,107.98088836669922,98.02486419677734,2.293477773666382,0.2632508873939514,4.549399375915527,14.12232780456543,47.91126251220703,8242.2744140625,0.1,0.9771639704704285,54672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-20.695670012886854,16.34041025120845,262,-14.297439462809185,-19.485644020963655,0.3862799726040631,0.7275666141542485,0.15266667215966273,0.11976671368608867,0.1931,12.48,0.0592,2.575
11,Warmup,6.3,0.6,4.173,12,0.3812,-2976.769,1243.357,4970,0,-23.09,13.96,-58.22,36.97,-0.5989,0.3632,-9.035926818847656,2.063765287399292,71.4760971069336,61.60564422607422,2.145146369934082,0.07815854996442795,0.8064094185829163,13.272017478942871,74.61924743652344,6655.89892578125,0.1,0.9769847989082336,59642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-23.090253610254624,13.956422953719827,262,-22.552005149110368,-21.537478076470528,0.40168492335361433,0.7294164138881151,0.1511702685835951,0.1194133175282899,0.2333,11.88,0.0595,2.604
12,Warmup,6.3,0.7,4.5,12,0.3744,-3323.991,1514.593,4970,0,-20.42,16.58,-59.26,46.02,-0.6688,0.384,-10.493087768554688,2.1883556842803955,105.23934936523438,95.39750671386719,2.4468977451324463,0.05704154819250107,0.4479157030582428,14.938488960266113,83.61468505859375,5281.9892578125,0.1,0.9770895838737488,64612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-20.416571673491905,16.58127562601481,262,-18.300429984299758,-16.66243067273968,0.3823660772022056,0.731373013631814,0.1496439164443891,0.11898306992379702,0.2106,11.11,0.0596,2.645
13,Warmup,6.9,0.6,6.731,12,0.4441,-3138.848,1377.994,4970,0,-26.06,17.58,-57.66,46.15,-0.6316,0.3736,-10.045135498046875,1.9378530979156494,61.48824691772461,51.74915313720703,2.0259218215942383,0.03568945825099945,0.469205379486084,13.988128662109375,32.67097091674805,6716.24951171875,0.1,0.9775455594062805,69582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-26.06454600235129,17.579932725952812,262,-22.294950049017604,-20.34248203101911,0.46610159019346054,0.734327071628238,0.14750564957311058,0.1181672787986514,0.1752,10.17,0.0593,2.692
14,Warmup,10.5,0.6,5.671,12,0.3801,-2770.881,1097.096,4970,0,-30.05,17.1,-59.03,34.82,-0.5575,0.3506,-10.647193908691406,1.631293773651123,75.66587829589844,66.01212310791016,1.690158486366272,0.3688812255859375,0.8438135385513306,14.33678150177002,15.922101974487305,2971.484130859375,0.1,0.9782315492630005,74552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-30.054484389441264,17.104193286028245,262,-28.32819567605069,-28.976285163352365,0.520545458245653,0.7367023991773054,0.14577853253658324,0.11751906828611149,0.157,9.19,0.0586,2.737
15,Warmup,6.2,0.7,6.703,12,0.4191,-2731.541,1061.986,4970,0,-34.39,15.81,-59.9,49.06,-0.5496,0.3548,-8.53740406036377,1.6967772245407104,88.61624908447266,79.00474548339844,1.7629793882369995,0.8093827366828918,1.9586687088012695,12.75033187866211,32.45798110961914,14557.486328125,0.1,0.9792344570159912,79522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.39105174749363,15.805465107302064,262,-32.89203162318782,-32.45622860946153,0.5827527796039849,0.7394326048496555,0.1438318133772464,0.11673558177309833,0.1573,8.32,0.0574,2.77
16,Warmup,6.2,0.7,5.949,12,0.3549,-3000.499,1211.151,4970,0,-30.78,15.65,-58.7,32.73,-0.6037,0.3539,-9.38343334197998,1.3340169191360474,54.76243591308594,45.22954177856445,1.4032273292541504,0.04021976888179779,0.20356091856956482,12.122562408447266,22.70094108581543,1433.7041015625,0.1,0.9804891347885132,84492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-30.777293473911627,15.652319480510794,262,-33.57637438021208,-28.266759203609666,0.5235375273411753,0.74178589201837,0.1421748221362101,0.11603928584541981,0.1268,7.66,0.0557,2.785
17,Warmup,6.2,0.6,4.079,12,0.5138,-2712.729,1064.559,4971,0,-36.93,16.62,-59.64,36.26,-0.5457,0.3529,-9.930631637573242,1.8696080446243286,58.400543212890625,48.867652893066406,1.8545012474060059,0.5441974401473999,1.6449511051177979,14.261202812194824,27.623600006103516,5768.3212890625,0.1,0.9819108247756958,89463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-36.925676205872385,16.618949144454742,262,-33.76042925182142,-32.83904829903653,0.6261816005070909,0.7429863914960464,0.14100842613051473,0.11600518237343897,0.1529,7.42,0.0539,2.787
18,Warmup,6.3,0.7,3.707,12,0.5203,-2716.258,1026.602,4970,0,-33.53,17.21,-59.47,43.84,-0.5465,0.3268,-8.364330291748047,1.382716417312622,80.03400421142578,70.5909194946289,1.314642071723938,0.19773510098457336,0.25229763984680176,11.352787971496582,17.44758415222168,5659.35498046875,0.1,0.9835465550422668,94433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33.5263262132936,17.21304806998088,262,-33.744164854601806,-34.826489681946605,0.5740667048295972,0.7439728310013822,0.13996983429684162,0.11605733470177625,0.2275,7.66,0.0522,2.788
19,Warmup,9.1,0.6,5.207,12,0.4775,-2663.651,993.674,4970,0,-32.46,18.51,-59.45,44.28,-0.5359,0.3327,-10.155194282531738,1.7646487951278687,71.7372817993164,62.2892951965332,1.7341300249099731,0.08802109211683273,2.2494089603424072,13.809285163879395,14.172203063964844,5845.25390625,0.1,0.9854711294174194,99403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.4644943433201,18.508838090738372,262,-29.143238810802764,-29.379281870942368,0.5611389626717999,0.7456313422363614,0.13862037601906443,0.11574828174457424,0.2374,8.21,0.0509,2.803
20,Warmup,6.2,0.7,4.396,12,0.5264,-2709.497,1038.596,4971,0,-32.65,20.29,-59.42,40.2,-0.5451,0.3416,-10.205366134643555,1.612966775894165,69.45335388183594,60.029823303222656,1.7697865962982178,-0.07236283272504807,0.7579292058944702,13.395973205566406,8.2494478225708,6528.15771484375,0.1,0.9876536726951599,104374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.64821093383254,20.28942092956075,262,-33.81318025275281,-28.516727432745853,0.5744573066204003,0.7468364018583991,0.13748733230315877,0.11567626583844227,0.249,8.87,0.0504,2.829
21,Warmup,6.3,0.7,4.538,12,0.3867,-2757.165,1058.928,4970,0,-32.82,19.6,-59.63,49.42,-0.5548,0.3375,-8.548599243164062,1.5516308546066284,43.211177825927734,33.837059020996094,1.6308605670928955,0.138433575630188,0.8500442504882812,11.827167510986328,9.727275848388672,5033.3125,0.1,0.9900478720664978,109344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.82059378462846,19.602556462132075,262,-36.61572197330626,-30.95677018447926,0.5769958692457142,0.7482333994001502,0.136387446444796,0.1153791541550536,0.2001,9.47,0.0502,2.863
22,Warmup,6.1,0.8,6.674,12,0.4854,-2770.032,1076.478,4972,0,-33.28,20.48,-59.77,46.7,-0.5571,0.3421,-9.703608512878418,1.2980402708053589,22.929256439208984,13.622660636901855,1.2671922445297241,0.3284747004508972,0.34304091334342957,12.655301094055176,8.872831344604492,2789.61376953125,0.1,0.9925131797790527,114316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33.277632266976845,20.47793524937004,262,-32.061195098255816,-31.295856425617085,0.5889188535445928,0.7503220566316285,0.13483894036181784,0.11483900300655356,0.1515,9.98,0.0503,2.897
23,Warmup,9.2,0.8,5.733,12,0.2095,-2791.379,1098.646,4970,0,-32.67,20.29,-59.78,45.18,-0.5616,0.3505,-10.138452529907227,1.517399787902832,53.75380325317383,44.460105895996094,1.4510998725891113,0.9820004105567932,2.0129482746124268,14.182310104370117,7.537312030792236,3974.703125,0.1,0.9951760172843933,119286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.66991671925332,20.294029195855664,262,-35.95467913513513,-32.36911226981565,0.5764121851641407,0.7523087235426567,0.133589637507383,0.11410163894996038,0.1551,10.45,0.0504,2.922
24,Warmup,6.4,0.7,4.134,12,0.3948,-2658.643,1009.933,4970,0,-32.2,22.65,-59.82,50.45,-0.5349,0.3457,-9.89441967010498,1.2224406003952026,26.868061065673828,17.601253509521484,1.453169345855713,0.6004698872566223,1.0903434753417969,12.963958740234375,3.7431554794311523,1750.7664794921875,0.1,0.9980617761611938,124256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-32.201762941428335,22.651340838928924,262,-37.16838513455893,-31.082112340080112,0.5870211390398393,0.7534243378975939,0.1326612640680005,0.1139143980344055,0.1592,10.83,0.0509,2.933
25,Warmup,6.2,0.8,4.446,12,0.4269,-2541.1,905.843,4970,0,-34.74,21.49,-59.84,54.83,-0.5113,0.3204,-9.285382270812988,1.129246473312378,23.787521362304688,14.592758178710938,1.0388169288635254,0.9255530834197998,0.9584215879440308,12.50448226928711,4.078120231628418,993.4334716796875,0.1,1.0010329484939575,129226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-34.73591830119176,21.4873079231079,262,-35.84906110543953,-34.69089134257091,0.619353209476349,0.7545907515737921,0.1316879141163177,0.11372133430989025,0.1698,11.03,0.052,2.931
26,Warmup,6.3,0.7,4.883,12,0.366,-2634.477,984.664,4970,0,-35.06,22.43,-59.85,52.13,-0.5301,0.3403,-9.186419486999512,1.1927481889724731,41.966644287109375,32.79962921142578,1.1636921167373657,0.6925494074821472,0.16078044474124908,12.306442260742188,6.109451770782471,2399.39697265625,0.1,1.0042091608047485,134196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-35.05843163880124,22.42540630314695,262,-38.29751305078205,-38.04889618723016,0.6309316193301389,0.755954418308656,0.13066575818623524,0.11337982350510875,0.1417,11.0,0.0532,2.928
27,Warmup,6.1,0.7,5.061,12,0.4305,-2588.888,942.249,4971,0,-33.81,22.15,-59.83,52.97,-0.5208,0.3302,-9.128225326538086,1.1410201787948608,50.5994873046875,41.465309143066406,1.1986827850341797,-0.15375307202339172,1.281082272529602,11.272998809814453,5.7143683433532715,7738.68505859375,0.1,1.0074774026870728,139167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33.80950542707824,22.145146930615958,262,-36.73790470061725,-37.893879676492595,0.6107670045152181,0.757276872489898,0.12962259534115853,0.11310053216894358,0.1298,10.77,0.0543,2.933
28,Warmup,9.3,0.6,6.968,12,0.455,-2658.645,982.182,4971,0,-27.76,24.4,-59.74,50.37,-0.5348,0.3377,-9.54951000213623,1.3733315467834473,31.74315643310547,22.59788703918457,1.6249847412109375,0.9800140261650085,1.2837131023406982,13.326261520385742,3.455951690673828,4538.56982421875,0.1,1.0108649730682373,144138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-27.759219234338655,24.402205365143065,262,-27.939349448582846,-32.33765237336293,0.5440774153625261,0.7591985312602323,0.1282496713037463,0.1125517974360213,0.1056,10.41,0.0548,2.945
29,Warmup,6.2,0.8,8.498,12,0.4277,-2668.706,979.503,4970,0,-33.29,22.28,-59.81,49.77,-0.537,0.3322,-9.554716110229492,1.4166648387908936,32.09512710571289,22.977642059326172,1.6092644929885864,0.614712655544281,0.24508708715438843,13.033839225769043,6.428986549377441,3799.791015625,0.1,1.0143142938613892,149108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-33.285194399790235,22.278656863904477,262,-24.373625908164602,-26.296442182322863,0.6016704005307265,0.7616136323213312,0.12664380490523755,0.11174256277343134,0.135,10.08,0.0548,2.957
30,BiLevel,6.6,0.9,4.262,12,0.4632,-2883.604,1141.398,4968,262,-29.82,24.2,-59.92,51.32,-0.5804,0.3491,-9.107650756835938,1.2885651588439941,33.44914245605469,24.369754791259766,1.45228910446167,0.7588868141174316,0.5775717496871948,12.483049392700195,8.155510902404785,3347.809814453125,0.1,1.0178965330123901,154076,-1.26,47.43,-112.36,105.89,-0.8894,0.5,-1.0040267705917358,0.772992730140686,12.61359977722168,2.757819652557373,0.9316740036010742,2.5647940635681152,4.321331977844238,32.86282730102539,0.05,262,-29.82194095955458,24.198870152204396,262,-26.392709415523626,-31.087340141597547,0.5691693166477335,0.7625368812267216,0.12581083662541026,0.11165228214786806,0.1321,9.81,0.0543,2.966
31,BiLevel,6.6,0.9,4.046,12,0.4568,-2805.093,1040.438,4970,262,-30.21,25.54,-59.64,48.46,-0.5644,0.3455,-10.551615715026855,1.1689646244049072,26.064613342285156,17.03572654724121,1.1814512014389038,0.5690600872039795,0.425743043422699,13.496869087219238,3.5466928482055664,3023.186767578125,0.1,1.0215718746185303,159046,5.27,46.52,-93.67,98.54,-0.8614,0.5,-0.9927692413330078,0.3273819386959076,11.28238296508789,1.5805113315582275,0.43473759293556213,1.6643848419189453,2.3832826614379883,17.263723373413086,0.05,524,-30.206629561692086,25.53735662583959,262,-33.74746738138952,-30.366310791592856,0.5864846320964433,0.7633769797366995,0.12503369105106885,0.11158932921223151,0.1251,9.55,0.0542,2.974
32,BiLevel,6.4,3.6,3.818,12,0.4419,-2569.037,931.96,4972,262,-27.31,24.3,-59.35,47.35,-0.5167,0.3299,-9.638254165649414,1.0243358612060547,30.725027084350586,21.743070602416992,1.0782567262649536,0.8011658191680908,0.33345431089401245,12.535548210144043,3.765164852142334,1999.448974609375,0.1,1.0252699851989746,164018,-4.69,42.67,-108.63,92.77,-0.8237,0.5,-0.6500980854034424,0.2883880138397217,10.755349159240723,1.2038109302520752,0.34349679946899414,1.2532548904418945,1.4855284690856934,9.549575805664062,0.05,786,-27.309301432859744,24.297395716821747,262,-34.825802100332155,-22.08206622600556,0.5376296096534796,0.7641425697490452,0.12431327960059955,0.11154415065035539,0.1374,9.33,0.054,2.98
33,BiLevel,6.6,0.7,7.571,12,0.4763,-2721.507,1009.99,4971,262,-30.44,24.18,-59.83,52.42,-0.5475,0.342,-10.106705665588379,0.9979836940765381,26.268516540527344,17.32685089111328,0.9398685097694397,0.7061052918434143,0.7785497903823853,12.85551643371582,2.6395113468170166,1302.12548828125,0.1,1.0290379524230957,168989,0.47,38.07,-95.42,96.63,-1.2334,0.5,-0.8753814697265625,0.19303467869758606,11.102019309997559,1.6978944540023804,0.18164122104644775,1.2855350971221924,1.2871731519699097,4.997644424438477,0.05,1048,-30.443459186302036,24.18389559194698,262,-30.180572505099214,-29.07295484950668,0.5787097132537367,0.7660293223932351,0.12298567732946722,0.11098500027729777,0.1333,9.17,0.0536,2.985
34,BiLevel,6.5,0.9,4.958,12,0.3999,-2744.148,1037.346,4968,262,-27.97,25.56,-59.81,52.91,-0.5524,0.3461,-9.899697303771973,0.878753662109375,21.358346939086914,12.436281204223633,0.9877814054489136,0.8110628128051758,0.5646637082099915,12.535896301269531,3.397578716278076,1685.472900390625,0.1,1.032856822013855,173957,-1.04,37.7,-97.25,93.95,-0.8957,0.5,-0.9280272126197815,0.16491267085075378,9.88064193725586,0.6187130212783813,0.18910691142082214,1.2834250926971436,1.4988458156585693,4.649769306182861,0.05,1310,-27.971249721166732,25.55965686015313,262,-27.52998881485117,-29.25397789086166,0.5579559769408564,0.7671522470006557,0.12211890263487249,0.11072885036447193,0.101,9.06,0.0532,2.986
35,BiLevel,6.6,0.7,5.152,12,0.4463,-2567.111,931.029,4969,262,-26.28,27.04,-59.54,55.79,-0.5166,0.338,-9.776756286621094,1.2568869590759277,32.903594970703125,23.987947463989258,1.23155677318573,0.888037383556366,0.5356528759002686,13.251801490783691,2.9196012020111084,4910.15576171875,0.1,1.0367192029953003,178926,0.04,35.36,-88.19,80.53,-0.9615,0.5,-0.8175041675567627,0.13449925184249878,9.679571151733398,0.5584969520568848,0.14571763575077057,1.1172354221343994,1.0084344148635864,3.704733371734619,0.05,1572,-26.28421998975814,27.044474022782257,262,-31.405265532355564,-29.643777578912285,0.5583792211690308,0.768265021871548,0.1212314033595168,0.11050357476893519,0.1172,9.05,0.0528,2.987
36,BiLevel,6.3,0.9,4.43,12,0.5653,-2651.078,972.087,4970,262,-32.28,25.51,-59.84,55.08,-0.5334,0.3379,-10.336796760559082,1.0584603548049927,27.524494171142578,18.664913177490234,1.015783429145813,0.9922865629196167,0.6727168560028076,13.507448196411133,2.0427844524383545,4016.37060546875,0.1,1.0405256748199463,183896,-1.31,31.35,-78.49,88.97,-1.0083,0.5,-0.8366000652313232,0.15227888524532318,10.301667213439941,1.3179171085357666,0.1604890525341034,1.1712464094161987,0.954069197177887,6.170306205749512,0.05,1834,-32.28171634343968,25.508367804798453,262,-33.31530927219673,-31.87319730426136,0.6194254356074071,0.7690250724947417,0.12045429168013128,0.11052063582512711,0.2111,9.27,0.0524,2.987
37,BiLevel,9.5,0.8,4.415,12,0.4381,-2531.72,900.497,4970,262,-26.24,24.49,-59.01,50.39,-0.5094,0.3235,-10.405884742736816,1.1643072366714478,27.178443908691406,18.336503982543945,1.1958547830581665,1.1321957111358643,0.8780768513679504,13.95227336883545,3.8331010341644287,5268.1171875,0.1,1.0445207357406616,188866,-1.53,29.46,-72.11,84.65,-0.8796,0.5,-0.8261883854866028,0.1392456293106079,9.356154441833496,0.5059040784835815,0.13376933336257935,1.146039605140686,0.8829797506332397,7.020834445953369,0.05,2096,-26.243159348663443,24.48988181031126,262,-22.397112812690047,-27.97449149646257,0.5278793754274159,0.7698907885264002,0.11971325109469277,0.11039596037890705,0.2039,9.54,0.052,2.987
38,BiLevel,6.4,0.8,4.243,12,0.4768,-2592.613,940.004,4969,262,-27.56,27.67,-59.56,58.42,-0.5218,0.3385,-10.369938850402832,0.8189363479614258,16.05377197265625,7.262719631195068,0.9338802099227905,0.7587125897407532,0.4452120363712311,12.83985424041748,1.4166711568832397,694.5106201171875,0.1,1.0484195947647095,193835,1.45,28.57,-77.0,65.95,-0.9011,0.5,-0.9412795305252075,0.1482463926076889,9.516396522521973,0.7965807914733887,0.15997721254825592,1.273510456085205,1.1899549961090088,5.278128147125244,0.05,2358,-27.560945564615196,27.672450831366696,262,-20.023331029085735,-29.504521661839988,0.5832926668304476,0.7706540863217117,0.11900545363854266,0.11034046003974556,0.1749,9.76,0.052,2.987
