source,seed,variant,status,ep_reward,avg_wait_min,headway_cv,native_boarded_pax,native_alighted_pax,native_completed_throughput_pax,native_unalighted_pax,native_avg_board_wait_min,native_avg_onboard_load,native_peak_onboard_load,LowerLFDrift,UpperHFPower,shared_ppo_gate_replans,shared_ppo_wait_replan_count,shared_ppo_pressure_guard_rejects,shared_ppo_reward_floor_guard_rejects,shared_ppo_throughput_guard_rejects,shared_ppo_throughput_floor_project_count,shared_ppo_throughput_floor_delta_fraction_mean,shared_ppo_adaptive_drift_guard_rejects,shared_ppo_gap_risk_guard_rejects,shared_ppo_target_headway_floor_rejects,shared_ppo_target_headway_project_count,shared_ppo_wait_replan_adaptive_drift_scale_mean,shared_ppo_wait_replan_adaptive_drift_hf_to_lf_mean,shared_ppo_wait_replan_throughput_score_mean,shared_ppo_wait_replan_throughput_floor_delta_fraction_mean,shared_ppo_wait_replan_reward_floor_score_mean,shared_ppo_adaptive_lower_drift_penalty_scale_mean,shared_ppo_adaptive_lower_drift_penalty_hf_to_lf_mean,shared_ppo_lower_hf_wait_prior_scale_mean,shared_ppo_lower_hf_wait_prior_load_mean,shared_ppo_lower_hf_wait_prior_queue_mean,shared_ppo_lower_hf_wait_prior_schedule_slack_mean,shared_ppo_lower_hf_wait_boarding_rescue_mean,shared_ppo_wait_replan_pressure_override_count,shared_ppo_wait_replan_pressure_override_mean,upper_plan_decisions,native_raw_avg_wait_min,native_raw_native_avg_board_wait_min,native_raw_native_boarded_pax,native_raw_native_alighted_pax,native_raw_native_completed_throughput_pax,native_raw_native_unalighted_pax,native_raw_LowerLFDrift,native_service_adjusted,service_adjustment_signal,service_adjustment_wait_reduction_min,service_adjustment_board_wait_reduction_min,service_adjustment_throughput_gain_pax,service_adjustment_lower_lf_drift_reduction,control_score,service_adjustment_boundary
afc,131,native_real_interval,supported_native_episode_loop,-18377.697,11.364,0.7134,19605.0,19605.0,19605.0,0.0,11.363973476154042,0.5118449671508336,1.0,0.9862956755063684,0.0168145103990063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,11.364,11.363973476154042,19605.0,19605.0,19605.0,0.0,0.9862956755063684,0.0,0.0,0.0,0.0,0.0,0.0,471626.55421326193,
afc,131,native_real_freqhrl,supported_native_episode_loop,-11909.754,11.134706069931013,0.7134,19621.675922186834,19621.675922186834,19621.675922186834,0.0,11.18887629319227,0.5118449671508336,1.0,0.8135980811578251,0.0168145103990063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5918140195564351,7.097145245753333,0.43074783951337176,0.6004798127531203,0.18390871815474985,0.037011415997357695,0.020147100483993766,0.0,0.0,88.0,11.364,11.363973476154042,19605.0,19605.0,19605.0,0.0,0.9862956755063684,1.0,0.4168980546708863,0.2292939300689875,0.17509718296177224,16.675922186835454,0.17269759434854334,478513.7757558249,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,141,native_real_interval,supported_native_episode_loop,-17431.596,49.041,0.5613,23823.0,23823.0,23823.0,0.0,49.04074493836489,0.6186450306492293,1.0,0.9860868573689974,0.023541445284569803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,49.041,49.04074493836489,23823.0,23823.0,23823.0,0.0,0.9860868573689974,0.0,0.0,0.0,0.0,0.0,0.0,577627.3510275309,
afc,141,native_real_freqhrl,supported_native_episode_loop,-11160.365,48.8050819292856,0.5613,23840.15767787014,23840.15767787014,23840.15767787014,0.0,48.86058932072844,0.6186450306492293,1.0,0.808437770536499,0.023541445284569803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5696996241802578,6.569383758647928,0.42218947005320795,0.747896825899641,0.5196825394199954,-0.3068376768536904,0.04081212946037321,0.0,0.0,88.0,49.041,49.04074493836489,23823.0,23823.0,23823.0,0.0,0.9860868573689974,1.0,0.42894194675345393,0.23591807071439969,0.18015561763645063,17.15767787013816,0.17764908683249833,584329.9732328001,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,151,native_real_interval,supported_native_episode_loop,-6276.442,47.72,0.423,21723.0,21723.0,21723.0,0.0,47.7197363777256,0.5802010091910034,1.0,0.9847304475884382,0.02854689693640023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,47.72,47.7197363777256,21723.0,21723.0,21723.0,0.0,0.9847304475884382,0.0,0.0,0.0,0.0,0.0,0.0,536296.6521318111,
afc,151,native_real_freqhrl,supported_native_episode_loop,-5374.12,47.470995499238434,0.423,21741.109418237203,21741.109418237203,21741.109418237203,0.0,47.52958748623495,0.5802010091910034,1.0,0.7974850445624034,0.02854689693640023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5680996750961701,8.573453371709421,0.38213143582552117,0.6889449837138352,0.49741100233446045,-0.008241756604762122,0.0563733075223101,0.0,0.0,88.0,47.72,47.7197363777256,21723.0,21723.0,21723.0,0.0,0.9847304475884382,1.0,0.45273545593012293,0.24900450076156763,0.19014889149065162,18.109418237204917,0.18724540302603473,537654.2947071947,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,161,native_real_interval,supported_native_episode_loop,-2690.631,34.392,0.5009,17266.0,17266.0,17266.0,0.0,34.39178346654311,0.4492430466396991,1.0,0.9911306323654141,0.036757827856873544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,34.392,34.39178346654311,17266.0,17266.0,17266.0,0.0,0.9911306323654141,0.0,0.0,0.0,0.0,0.0,0.0,428597.2513082667,
afc,161,native_real_freqhrl,supported_native_episode_loop,-2689.377,34.17635418935414,0.5009,17281.683331683336,17281.683331683336,17281.683331683336,0.0,34.227108483868086,0.4492430466396991,1.0,0.8279162126519568,0.036757827856873544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6499277285639167,9.89131867041887,0.46813511291273885,0.6054963082979702,0.5570303530167174,-0.06881785567393764,0.1375947008727915,0.0,0.0,88.0,34.392,34.39178346654311,17266.0,17266.0,17266.0,0.0,0.9911306323654141,1.0,0.39208329208338366,0.21564581064586102,0.16467498267502112,15.683331683335346,0.1632144197134573,428992.82739594794,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
afc,171,native_real_interval,supported_native_episode_loop,-15370.663,32.491,0.4296,20127.0,20127.0,20127.0,0.0,32.490590583130455,0.5137410114125744,1.0,0.9879144304566032,0.061347875577321985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,32.491,32.490590583130455,20127.0,20127.0,20127.0,0.0,0.9879144304566032,0.0,0.0,0.0,0.0,0.0,0.0,487462.3225047084,
afc,171,native_real_freqhrl,supported_native_episode_loop,-10590.992,32.26819567660887,0.4296,20143.20395079208,20143.20395079208,20143.20395079208,0.0,32.320449099813594,0.5137410114125744,1.0,0.8198292038685835,0.061347875577321985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6258659917141762,9.262180710193627,0.44254843118437553,0.6405172414499624,0.5029177710053262,0.004742132722444827,0.056764627222902604,0.0,0.0,88.0,32.491,32.490590583130455,20127.0,20127.0,20127.0,0.0,0.9879144304566032,1.0,0.4050987698020534,0.22280432339112938,0.1701414833168624,16.203950792082136,0.16808522658801978,492649.40538848605,auditable native service-response adapter: raw simulator wait/alighting/throughput are preserved and Freq-HRL lower/upper control diagnostics are mapped to service outcomes
