baseline,seed,total_return,mean_reward,base_mean_reward,leakage_reward_penalty,leakage_reward_penalty_total,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,recovery_cost_120,recovery_regret_120,promotion_count,promotion_delay,PromotionDelay,ShockResponseTime,regime_promotion_accuracy,regime_promotion_precision,regime_promotion_recall,UpperHFPower,LowerLFDrift,FocusScore,freq_attr_n,freq_attr_high_component_pnl,freq_attr_high_component_pnl_total,freq_attr_high_frequency_cost,freq_attr_high_frequency_cost_total,freq_attr_leakage_cost,freq_attr_leakage_cost_total,freq_attr_low_component_pnl,freq_attr_low_component_pnl_total,freq_attr_low_frequency_cost,freq_attr_low_frequency_cost_total,freq_attr_lower_credit,freq_attr_lower_credit_total,freq_attr_promotion_adaptation_cost,freq_attr_promotion_adaptation_cost_total,freq_attr_task_reward,freq_attr_task_reward_total,freq_attr_upper_credit,freq_attr_upper_credit_total,scenario,freq_method
raw_history,2026,-0.006189339143815142,-3.0128986546151676e-05,-9.374151443854877e-06,2.0754835102296795e-05,0.014943481273653693,-0.6885056293945662,-1.0790177992097925,0.020189231670152297,-0.30656635403146343,27.125605867914064,0.16275363520748443,0.0004034566967914586,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.024872458266731793,0.3389228094992266,0.11528867097521472,720.0,-7.601062790708135e-06,-0.005472765209309857,0.000342760790654768,0.24678776927143298,2.0754835102296795e-05,0.014943481273653693,0.00022508054030638671,0.16205798902059843,0.0,0.0,-0.0003531382082059164,-0.2542595099082598,0.0,0.0,-9.374151443854877e-06,-0.006749389039575511,-1.0377417551148397e-05,-0.007471740636826847,localized_burst,ema
freq_single_policy,2026,-0.22818048508310873,-0.0003731573350942275,-0.00036112361678086394,1.2033718313363565e-05,0.008664277185621766,-21.287595672682034,-26.568830039671248,0.22686397096520583,-1.0058030991536546,73.50856358301559,0.4410513814980935,0.0007812641129185047,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.09511780058482928,0.10053138535850951,-0.3156871012162323,720.0,-3.0692233725364597e-06,-0.002209840828226251,0.0007376237935049628,0.5310891313235732,1.2033718313363565e-05,0.008664277185621766,0.000256079498009306,0.18437723856670032,0.0,0.0,-0.0007436406526616445,-0.5354212699163841,0.0,0.0,-0.00036112361678086394,-0.26000900408222205,-6.016859156681782e-06,-0.004332138592810883,localized_burst,ema
lf_upper_only,2026,0.009069951033531254,-7.536762043598105e-05,1.2525573122539311e-05,8.789319355852035e-05,0.06328309936213465,2.119798883058658,2.905504017789216,0.0046372367390502545,1.955895621449091,4.952150611745596,0.02971290367047358,1.3750351674414862e-05,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.002782634088706337,1.5532460240876165,1.140358677891897,720.0,2.832348244380097e-06,0.00203929073595367,9.20473327253185e-05,0.06627407956222932,8.789319355852035e-05,0.06328309936213465,5.0988647346054684e-05,0.03671182608915937,3.142016791624639e-06,0.00226225208996974,-0.00013599392950457866,-0.09791562924329664,0.0,0.0,1.2525573122539311e-05,0.009018412648228304,-4.7088613570884815e-05,-0.033903801771037065,localized_burst,ema
hf_lower_only,2026,-0.013433553989615543,-6.400860651417295e-05,-2.358076609692641e-05,4.042784041724655e-05,0.029108045100417517,-7.8167517088844525,-11.811931963695327,0.013433553989615543,-1.0,7.104009821907396,0.04262405893144438,0.002399426807504423,0.0,0.0,0.0,0.0,0,-1.0,-1.0,42.81818181818182,0.5,0.0,0.0,0.0,0.8638754404494962,0.03283789150529698,720.0,-1.987323122086871e-06,-0.001430872647902547,8.684297579488645e-05,0.06252694257231825,4.042784041724655e-05,0.029108045100417517,4.24054924893976e-05,0.030531954592366274,0.0,0.0,-0.00010705689600350972,-0.077080965122527,0.0,0.0,-2.358076609692641e-05,-0.016978151589787015,-2.0213920208623274e-05,-0.014554022550208759,localized_burst,ema
allfreq_alllayers,2026,-0.2398697376522848,-0.0004000538064958387,-0.00038192035885920743,1.813344763663127e-05,0.013056082298374514,-20.592053810816733,-25.144557862037445,0.2386381418146153,-1.0051609345777854,76.71026313053422,0.4602615787832053,0.0005958908381880057,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.09511780058482928,0.22257126131666152,-0.30874476912535775,720.0,-2.74223734036719e-06,-0.001974410885064377,0.0007664393701420052,0.5518363465022438,1.813344763663127e-05,0.013056082298374514,0.0002612658529119876,0.18811141409663107,0.0,0.0,-0.000775506093960321,-0.5583643876514311,0.0,0.0,-0.00038192035885920743,-0.27498265837862934,-9.066723818315636e-06,-0.006528041149187257,localized_burst,ema
swapped,2026,-0.12618138628632802,-0.00020554809774779573,-0.00019252549633410568,1.3022601413690065e-05,0.009376273017856847,-15.834465537335678,-21.30217873143596,0.12619946257134607,-0.9998567641680104,44.71782018188243,0.2683069210912946,0.0026283274597035137,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.10120463550826508,0.14531146869119804,-0.5090285793938518,720.0,-7.537059462814633e-06,-0.005426682813226536,0.00048092485548997934,0.3462658959527851,1.3022601413690065e-05,0.009376273017856847,0.00019291671956380297,0.13890003808593815,0.0,0.0,-0.00048743615619682435,-0.3509540324617135,0.0,0.0,-0.00019252549633410568,-0.13861835736055608,-6.511300706845033e-06,-0.004688136508928424,localized_burst,ema
no_promotion,2026,0.009069951033531254,-7.536762043598105e-05,1.2525573122539311e-05,8.789319355852035e-05,0.06328309936213465,2.119798883058658,2.905504017789216,0.0046372367390502545,1.955895621449091,4.952150611745596,0.02971290367047358,1.3750351674414862e-05,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.002782634088706337,1.5532460240876165,1.140358677891897,720.0,2.832348244380097e-06,0.00203929073595367,9.20473327253185e-05,0.06627407956222932,8.789319355852035e-05,0.06328309936213465,5.0988647346054684e-05,0.03671182608915937,3.142016791624639e-06,0.00226225208996974,-0.00013599392950457866,-0.09791562924329664,0.0,0.0,1.2525573122539311e-05,0.009018412648228304,-4.7088613570884815e-05,-0.033903801771037065,localized_burst,ema
no_leakage,2026,-0.005242461705014634,-8.63676250701241e-06,-8.63676250701241e-06,0.0,0.0,-1.1939522231367046,-1.763332462966706,0.008771567902833732,-0.5976652934900054,9.98487745230092,0.05990926471380552,0.0006749249468170586,0.0,0.0,0.0,0.0,0,-1.0,-1.0,3.4545454545454546,0.5,0.0,0.0,0.002782634088706337,0.8530044750208201,0.9458818996291327,720.0,1.9638317050741017e-06,0.0014139588276533533,0.00013745929499216385,0.09897069239435798,0.0,0.0,7.395656778405527e-05,0.05324872880451979,4.994603869385332e-07,0.0003596114785957439,-0.00013745929499216385,-0.09897069239435798,0.0,0.0,-8.63676250701241e-06,-0.006218469005048936,-4.994603869385332e-07,-0.0003596114785957439,localized_burst,ema
freq_hrl,2026,0.009069951033531254,-7.536762043598105e-05,1.2525573122539311e-05,8.789319355852035e-05,0.06328309936213465,2.119798883058658,2.905504017789216,0.0046372367390502545,1.955895621449091,4.952150611745596,0.02971290367047358,1.3750351674414862e-05,0.0,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.002782634088706337,1.5532460240876165,1.140358677891897,720.0,2.832348244380097e-06,0.00203929073595367,9.20473327253185e-05,0.06627407956222932,8.789319355852035e-05,0.06328309936213465,5.0988647346054684e-05,0.03671182608915937,3.142016791624639e-06,0.00226225208996974,-0.00013599392950457866,-0.09791562924329664,0.0,0.0,1.2525573122539311e-05,0.009018412648228304,-4.7088613570884815e-05,-0.033903801771037065,localized_burst,ema
freq_hrl_recovery_tuned,2026,0.010457027553683051,-7.018107257618723e-05,1.443199930668508e-05,8.448694904987946e-05,0.06083060331591321,2.358784593238097,3.311578751856049,0.004990820662546636,2.0952521159811037,5.036393649486817,0.0302183618969209,1.4938043657641379e-05,0.0,0.0,0.0,0.0,12,-1.0,-1.0,48.25,0.49166666666666664,0.0,0.0,0.0031420426033689376,1.4379455293913959,1.156607409756344,720.0,3.188598751249432e-06,0.002295791100899591,9.430193214773788e-05,0.06789739114637128,8.448694904987946e-05,0.06083060331591321,5.324322372180774e-05,0.03833512107970157,3.07388558583394e-06,0.0022131976218004367,-0.00013654540667267762,-0.09831269280432789,1.261228329928603e-07,9.080843975485941e-05,1.443199930668508e-05,0.010391039500813257,-4.544348294376653e-05,-0.032719307719511904,localized_burst,ema
