environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,ood_chirp,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,417.8788644970345,464.28614289328596,46.40727839625161,-72.78779176385193,171.87703976002436,8.35757728994069,False,2.5e-05,0.0023824868082626127,0.0005655749772866689,-0.0018169118309759437,-0.0013001544970527158,nan,0.0002382486808262613,True,strict_relative_improvement,True,4.4571319872315724,0.0023824868082626127,0.0019470245337200522,-0.0004354622745425604,0.0003238246815018645,nan,0.0002382486808262613,True,strict_relative_improvement,False,-2.359187720909179,0.0019470245337200522,0.055467616447198415,0.06169721710322198,True,0.3362068763509516,0.22320831811909844,True,0.0,0.0,True,6.181176659680366e-09,True,-7.709197562726755,False
Hopper-v5,standard,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,187.52321516978705,146.60213467327566,-40.92108049651139,-59.95841338198773,-22.435526498839064,3.750464303395741,False,2.5e-05,0.07511655608883952,0.003255117092281708,-0.07186143899655782,-0.0596900815543062,nan,0.007511655608883953,True,strict_relative_improvement,True,6.946328301275073,0.07511655608883952,0.004701894217035286,-0.07041466187180424,-0.05818283044738398,nan,0.007511655608883953,True,strict_relative_improvement,True,6.745673321147976,0.004701894217035286,0.11441155172062005,0.13126017992337505,False,0.11851258195958349,0.020767118963993223,True,0.0,0.0,True,1.769445612285812e-08,True,-14.98693082552479,False
Hopper-v5,low_frequency,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,188.07015546676288,133.10338997433956,-54.96676549242332,-79.16138395622869,-32.08782945486837,3.761403109335258,False,2.5e-05,0.07637973804567831,0.003922467260867887,-0.07245727078481043,-0.06044687120405979,nan,0.007637973804567832,True,strict_relative_improvement,True,6.91399299745045,0.07637973804567831,0.00604411004222521,-0.07033562800345311,-0.05827351825924812,nan,0.007637973804567832,True,strict_relative_improvement,True,6.629447252672965,0.00604411004222521,0.10478177869498184,0.11677380133846414,False,0.12211041090565386,0.023627769884990782,True,0.0,0.0,True,1.699563561486735e-08,True,-20.045705991937314,False
Hopper-v5,high_frequency,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,187.64328637119053,143.8894086920643,-43.75387767912622,-63.411315837762395,-24.424661375112425,3.7528657274238104,False,2.5e-05,0.07509951728268122,0.003251018333020112,-0.07184849894966111,-0.05956635437119704,nan,0.007509951728268122,True,strict_relative_improvement,True,6.931656091341309,0.07509951728268122,0.004689182907398417,-0.0704103343752828,-0.05819358906855966,nan,0.007509951728268122,True,strict_relative_improvement,True,6.748863264928036,0.004689182907398417,0.11462907502255086,0.1312493421416838,False,0.1209724984880144,0.021192720331580768,True,0.0,0.0,True,1.7098972682021722e-08,True,-15.896771812108419,False
Hopper-v5,mixed,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,187.70218006738378,133.24023844331745,-54.46194162406631,-77.62548829710953,-31.42003200003927,3.7540436013476755,False,2.5e-05,0.07614407828896269,0.0038930827141670276,-0.07225099557479565,-0.06012708386244506,nan,0.0076144078288962695,True,strict_relative_improvement,True,6.896488500952891,0.07614407828896269,0.0059964740815756515,-0.07014760420738703,-0.05798855158941305,nan,0.0076144078288962695,True,strict_relative_improvement,True,6.615635108136658,0.0059964740815756515,0.10493543159008051,0.11701846018840958,False,0.1238836139393849,0.02411381311851998,True,0.0,0.0,True,1.624832009626744e-08,True,-19.677833435190397,False
Hopper-v5,ood_chirp,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,188.2217150081512,133.05462783115692,-55.167087176994286,-79.56161797759711,-31.62260981066771,3.764434300163024,False,2.5e-05,0.07604436618038303,0.0037003182611392987,-0.07234404791924373,-0.06018816189246376,nan,0.007604436618038304,True,strict_relative_improvement,True,6.914874554900338,0.07604436618038303,0.0057353731456155944,-0.07030899303476743,-0.05814610262415091,nan,0.007604436618038304,True,strict_relative_improvement,True,6.646339307533173,0.0057353731456155944,0.10615565797066531,0.11885997147310039,False,0.12064157388623652,0.0222801501378859,True,0.0,0.0,True,1.611330769599668e-08,True,-20.135079439200624,False
Walker2d-v5,standard,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,226.90328807016124,271.0203712809697,44.11708321080845,10.298428668758783,77.24835042491617,4.5380657614032245,True,2.5e-05,0.06749590538462097,0.003254347473903625,-0.06424155791071734,-0.055862593284859985,nan,0.006749590538462098,True,strict_relative_improvement,True,7.276441802881327,0.06749590538462097,0.019884717229984493,-0.047611188154636476,-0.038670910256974216,nan,0.006749590538462098,True,strict_relative_improvement,True,4.729371290985812,0.019884717229984493,0.021553552672553235,0.02360955489379481,True,0.13905947704987326,0.056063783019467385,True,0.0,0.0,True,2.0018524949980037e-08,True,0.21268669798585263,True
Walker2d-v5,low_frequency,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,246.10234561472834,255.05044496028813,8.948099345559795,-18.201326933456325,35.61099994624728,4.922046912294567,False,2.5e-05,0.06450461496587226,0.0034281840308953665,-0.0610764309349769,-0.05269862946784706,nan,0.006450461496587226,True,strict_relative_improvement,True,7.169745605911848,0.06450461496587226,0.019732236812437985,-0.04477237815343428,-0.03612893045678455,nan,0.006450461496587226,True,strict_relative_improvement,True,4.600983817343835,0.019732236812437985,0.022981952609985645,0.025279939257393372,True,0.13918696402658853,0.05867463142912719,True,0.0,0.0,True,1.931386458961306e-08,True,-2.697918215283975,False
Walker2d-v5,high_frequency,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,235.76362719365073,264.2560411601743,28.492413966523536,-5.801675625863849,61.92366024223866,4.715272543873015,False,2.5e-05,0.06696392667017584,0.003254401578556534,-0.06370952509161931,-0.05544279051799986,nan,0.006696392667017584,True,strict_relative_improvement,True,7.279501109765831,0.06696392667017584,0.019849330510908127,-0.04711459615926772,-0.038279250349088884,nan,0.006696392667017584,True,strict_relative_improvement,True,4.716398701890575,0.019849330510908127,0.02146028390052043,0.0234792096389291,True,0.13900381171448128,0.056463226701580375,True,0.0,0.0,True,1.905547862630566e-08,True,-0.23040090936047744,False
Walker2d-v5,mixed,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,238.0131881284006,254.48070765773915,16.46751952933851,-13.05428296895038,44.18210779738932,4.760263762568012,False,2.5e-05,0.06482719714911633,0.003486498954398133,-0.061340698194718206,-0.05322574318533935,nan,0.006482719714911634,True,strict_relative_improvement,True,7.210403276098583,0.06482719714911633,0.019748170025584925,-0.045079027123531415,-0.0364110093906888,nan,0.006482719714911634,True,strict_relative_improvement,True,4.616625581842716,0.019748170025584925,0.02303358335644452,0.02526019346017515,True,0.13948427060810387,0.05903276351352162,True,0.0,0.0,True,1.9911359850912233e-08,True,-1.7423444624228144,False
Walker2d-v5,ood_chirp,crossed_direct_pd_u2_l8,primal_dual,2.0,8.0,direct,0.1,0.0,16,239.1724903431753,262.6506837387491,23.478193395573776,-0.9445646939187688,47.03756033300841,4.783449806863506,True,2.5e-05,0.06544584809707213,0.003424114458783471,-0.06202173363828867,-0.053935192172516515,nan,0.006544584809707214,True,strict_relative_improvement,True,7.241193863439203,0.06544584809707213,0.01962921876636832,-0.04581662933070382,-0.037361488681362263,nan,0.006544584809707214,True,strict_relative_improvement,True,4.708763774585987,0.01962921876636832,0.02231931792137294,0.024217476289278977,True,0.13864308575248485,0.05736805432628127,True,0.0,0.0,True,1.924785186657646e-08,True,0.22158932226691666,True
HalfCheetah-v5,standard,crossed_router_a004_pd_u2_l8,primal_dual,2.0,8.0,causal_ema_high_pass,0.04,0.0,16,490.7004446949666,627.2359828714253,136.53553817645866,-12.106333080494545,282.73524329579834,9.814008893899333,False,2.5e-05,0.0021466311721285774,0.00047236406373267476,-0.0016742671083959026,-0.001175918761852999,nan,0.00021466311721285775,True,strict_relative_improvement,True,4.47797300775694,0.0021466311721285774,0.00038595830895480314,-0.0017606728631737742,-0.001258968906562872,nan,0.00021466311721285775,True,strict_relative_improvement,True,4.864858960910789,0.0016061441328772434,0.059624814891681976,0.06753294488872358,True,0.3310084668166945,0.2128894882176655,True,0.0,0.0,True,6.7010640579415994e-09,True,-0.2335767382501749,False
