method,seed,series_id,mse,mae,poisson_nll_no_const,n,mean_count
apc_route_profile,18,21:Lakeside - Timberlea,211.7769664306798,9.443110397464224,-48.843119589768705,1435,19.92447741065408
ema,19,6B:Eastern Passage,744.8087155647518,19.5877676034351,5.796391060556662,1435,19.66419420094403
fourier,19,6B:Eastern Passage,756.009868327022,19.79755939827863,10.7139678308024,1435,19.66419420094403
dynamic_harmonic_nb,19,6B:Eastern Passage,768.0946391120958,19.95498892220076,26.952612317181124,1435,19.66419420094403
apc_route_profile,19,6B:Eastern Passage,152.55673225992138,8.068056016347693,-46.88731225532044,1435,19.66419420094403
ema,20,53:Notting Park,658.0993602052389,18.495166592135984,5.820770097064437,1435,18.503708698583953
fourier,20,53:Notting Park,669.4120451892908,18.753207995358274,11.316826475592995,1435,18.503708698583953
dynamic_harmonic_nb,20,53:Notting Park,563.1498287844186,17.62705405853675,42.11181772428734,1435,18.503708698583953
apc_route_profile,20,53:Notting Park,126.29259485879784,7.29626139164381,-43.46277153728753,1435,18.503708698583953
ema,21,10A:Dalhousie - Bridge Terminal,1443.8571797325228,16.098282523290454,-0.0681538794957134,1435,15.624409979770736
fourier,21,10A:Dalhousie - Bridge Terminal,1474.4209698379234,16.428984668467358,19.57126590500325,1435,15.624409979770736
dynamic_harmonic_nb,21,10A:Dalhousie - Bridge Terminal,1485.3532710605425,16.205408143149377,45.548858650043236,1435,15.624409979770736
apc_route_profile,21,10A:Dalhousie - Bridge Terminal,495.1768903497629,10.020380352558576,-47.557774156087405,1435,15.624409979770736
ema,22,54:Montebello,572.5613051957464,15.073309627168962,7.357470007941559,1435,15.008766014834794
fourier,22,54:Montebello,582.3105873413666,15.298965396173093,12.764604420468828,1435,15.008766014834794
dynamic_harmonic_nb,22,54:Montebello,513.2716398272044,15.206262911885386,34.01087823019994,1435,15.008766014834794
apc_route_profile,22,54:Montebello,172.81482885189544,7.822720228452733,-33.917461268794234,1435,15.008766014834794
ema,23,320:Airport - Fall River Regional Exp,412.0864007930624,13.247580192325616,11.89553103946261,1435,13.287929871881321
fourier,23,320:Airport - Fall River Regional Exp,413.3895943813391,13.275228832054363,11.919954839653375,1435,13.287929871881321
dynamic_harmonic_nb,23,320:Airport - Fall River Regional Exp,411.0033998864337,13.257720702519594,10.182790491402907,1435,13.287929871881321
apc_route_profile,23,320:Airport - Fall River Regional Exp,105.8938214773672,7.372527769985308,-26.646393833949322,1435,13.287929871881321
