baseline,seed,total_return,mean_reward,base_mean_reward,leakage_reward_penalty,leakage_reward_penalty_total,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,recovery_cost_120,promotion_count,promotion_delay,PromotionDelay,ShockResponseTime,regime_promotion_accuracy,regime_promotion_precision,regime_promotion_recall,UpperHFPower,LowerLFDrift,FocusScore,freq_attr_n,freq_attr_high_component_pnl,freq_attr_high_component_pnl_total,freq_attr_high_frequency_cost,freq_attr_high_frequency_cost_total,freq_attr_leakage_cost,freq_attr_leakage_cost_total,freq_attr_low_component_pnl,freq_attr_low_component_pnl_total,freq_attr_low_frequency_cost,freq_attr_low_frequency_cost_total,freq_attr_lower_credit,freq_attr_lower_credit_total,freq_attr_promotion_adaptation_cost,freq_attr_promotion_adaptation_cost_total,freq_attr_task_reward,freq_attr_task_reward_total,freq_attr_upper_credit,freq_attr_upper_credit_total,scenario
freq_hrl,42,0.003730553596227537,-8.717129295542143e-05,5.19026737699932e-06,9.208041376808409e-05,0.06629789791302054,0.4511901862638017,0.6519570655210399,0.01108518721474716,0.33653501054674123,6.725508257666789,0.04035304954600073,1.4808226208651045e-05,0.0,0.0,0.0,110,-1.0,-1.0,8.407407407407407,0.4236111111111111,0.0,0.0,0.003506816647980057,1.7201281302275402,1.019907771994726,720.0,-1.2319072018193912e-05,-0.008869731853099617,0.00016358718281086769,0.11778277162382474,9.208041376808409e-05,0.06629789791302054,7.358485799483377e-05,0.052981097756280314,1.464629662206188e-05,0.010545333567884554,-0.00020962738969490974,-0.15093172058033502,2.8114656433664364e-07,0.0002024255263223834,5.19026737699932e-06,0.0037369925114395103,-6.0967650070440573e-05,-0.043896708050717215,localized_burst
vanilla_rl,123,-0.8570632256395269,-0.002730456684258841,-0.0027064466317285175,2.4010052530323098e-05,0.01728723782183263,-51.444735704419664,-53.023137716059594,0.8567584895873497,-1.000355684893562,348.56947476222643,2.091416848573359,0.004603505296821129,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.4620777349366862,0.00697381692531642,-0.02974073652967486,720.0,6.536718305543268e-06,0.004706437179991153,0.0030625333200829667,2.205023990459736,2.4010052530323098e-05,0.01728723782183263,0.00020096928357813494,0.14469788417625715,7.206263997928779e-06,0.005188510078508721,-0.003074538346348128,-2.213667609370652,0.0,0.0,-0.0027064466317285175,-1.9486415748445327,-1.921129026309033e-05,-0.013832128989425038,localized_burst
hrl_raw,123,-0.6936955595848966,-0.0016989325907960536,-0.0016744664164007666,2.4466174395287076e-05,0.017615645564606694,-48.37689384129404,-51.02649669046327,0.6932605153982634,-1.0006275334841237,221.42048045673505,1.32852288274041,0.01646573542779201,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.4620777349366862,0.012193712091932955,-0.02888516073008452,720.0,2.908158246441515e-06,0.0020938739374378908,0.002014846438352647,1.450689435613906,2.4466174395287076e-05,0.017615645564606694,0.0002007275666811678,0.14452384801044083,4.404804581196998e-06,0.0031714592984618387,-0.002027079525550291,-1.4594972583962094,0.0,0.0,-0.0016744664164007666,-1.205615819808552,-1.663789177884053e-05,-0.011979282080765184,localized_burst
raw_history,123,-0.010077548215814414,-3.930995861911727e-05,-1.490471566063059e-05,2.440524295848668e-05,0.01757177493011041,-0.9356116222271765,-1.530870861058428,0.023101434769800533,-0.4362304037058486,28.09325475353213,0.16855952852119277,0.0004588370647343656,0.0,0.0,0.0,0,-1.0,-1.0,0.05555555555555555,0.5,0.0,0.0,0.025425498629087762,0.4028008616817314,0.15012516656531213,720.0,-3.45828355464409e-06,-0.0024899641593437447,0.0003763472493310341,0.27097001951834454,2.440524295848668e-05,0.01757177493011041,0.00022358169830291662,0.16097882277809997,3.7767363268711616e-06,0.0027192501553472363,-0.0003885498708102774,-0.27975590698339975,0.0,0.0,-1.490471566063059e-05,-0.010731395275654025,-1.59793578061145e-05,-0.011505137620402442,localized_burst
freq_single_policy,123,-0.2249276733106349,-0.0003679271414004164,-0.0003551822904650938,1.274485093532255e-05,0.009176292673432236,-17.8934194463827,-24.855597348915822,0.2234790899842659,-1.0064819635987912,72.33555466200008,0.43401332797200043,0.000749100237300846,0.0,0.0,0.0,0,-1.0,-1.0,0.011111111111111112,0.5,0.0,0.0,0.08206455607134663,0.1204012671913068,-0.25741660569172997,720.0,4.5714647502528866e-07,0.00032914546201820785,0.0007592356771841471,0.5466496875725859,1.274485093532255e-05,0.009176292673432236,0.00024865505238448306,0.1790316377168278,3.693460251099734e-06,0.0026592913807918085,-0.0007656081026518084,-0.551237833909302,0.0,0.0,-0.0003551822904650938,-0.25573124913486756,-1.0065885718761009e-05,-0.007247437717507926,localized_burst
lf_upper_only,123,-0.005817008647645006,-9.700186747504688e-05,-8.126408366594241e-06,8.887545910845264e-05,0.0639903305580859,-1.2748984727383483,-1.6280465637769914,0.007929402630724058,-0.7335998584692673,5.430155043204158,0.03258093025922494,1.9082296435907093e-05,0.0,0.0,0.0,0,-1.0,-1.0,0.08333333333333333,0.5,0.0,0.0,0.004412669646050788,1.5765165546418758,1.196259330109359,720.0,-2.2022908226496452e-07,-0.00015856493923077446,0.0001016646286381571,0.07319853261947311,8.887545910845264e-05,0.0639903305580859,3.738327733524386e-05,0.026915959681375577,2.87640972008423e-06,0.0020710149984606457,-0.00014610235819238342,-0.10519369789851607,0.0,0.0,-8.126408366594241e-06,-0.005851014023947853,-4.7314139274310544e-05,-0.03406618027750359,localized_burst
hf_lower_only,123,-0.0110236070616343,-6.218547940638297e-05,-2.1569250597341905e-05,4.061622880904106e-05,0.029243684742509563,-4.74575476601416,-7.603087818105919,0.013279729140462715,-0.8301078241156202,7.31092466846872,0.04386554801081233,0.0030887881605497695,0.0,0.0,0.0,0,-1.0,-1.0,16.08888888888889,0.5,0.0,0.0,0.0,0.8573288011230902,0.039844468042113466,720.0,2.3437167099073312e-07,0.00016874760311332785,9.645933043653139e-05,0.0694507179143026,4.061622880904106e-05,0.029243684742509563,4.5298326290006243e-05,0.032614794928804494,5.437010255521536e-07,0.0003914647383975506,-0.00011676744484105191,-0.08407256028555737,0.0,0.0,-2.1569250597341905e-05,-0.015529860430086171,-2.0851815430072685e-05,-0.015013307109652334,localized_burst
allfreq_alllayers,123,-0.23798585993559374,-0.0003969588983350948,-0.0003783931945444488,1.8565703790645912e-05,0.013367306729265057,-17.926544542874716,-24.32967515965376,0.23662012391476006,-1.0057718506703415,75.66117284511172,0.4539670370706703,0.0005687940743442394,0.0,0.0,0.0,0,-1.0,-1.0,0.03333333333333333,0.5,0.0,0.0,0.08206455607134663,0.22186504515062716,-0.2600415252189574,720.0,4.819112142162593e-07,0.0003469760742357067,0.0007892532079113446,0.5682623096961681,1.8565703790645912e-05,0.013367306729265057,0.00025277225609928773,0.18199602439148718,3.818989363462251e-06,0.0027496723416928206,-0.0007985360598066676,-0.5749459630608007,0.0,0.0,-0.0003783931945444488,-0.2724431000720031,-1.3101841258785205e-05,-0.009433325706325348,localized_burst
swapped,123,-0.11077512417816804,-0.0001817624728827952,-0.00016789058073340027,1.3871892149394935e-05,0.009987762347564353,-10.841108378702963,-16.67540188332125,0.1138401224508866,-0.973076291497834,43.70470225031203,0.2622282135018722,0.002461282340338348,0.0,0.0,0.0,0,-1.0,-1.0,0.022222222222222223,0.5,0.0,0.0,0.08252040890094729,0.18092755739869204,-0.45119991137395976,720.0,7.291972966694776e-07,0.0005250220536020238,0.0004990632826506222,0.359325563508448,1.3871892149394935e-05,0.009987762347564353,0.0002005086387365406,0.14436621989030923,2.9023105216372467e-06,0.0020896635755788175,-0.0005059992287253197,-0.3643194446822302,0.0,0.0,-0.00016789058073340027,-0.1208812181280482,-9.838256596334714e-06,-0.007083544749360993,localized_burst
no_promotion,123,-0.0067420850911436014,-0.00010137427584870871,-9.397183653641067e-06,9.197709219506766e-05,0.06622350638044872,-1.4456461451613634,-1.7720628399336482,0.008329313862364907,-0.8094406337125769,5.69056720876611,0.03414340325259667,8.336329596497963e-06,0.0,0.0,0.0,0,-1.0,-1.0,2.75,0.5,0.0,0.0,0.004412669646050788,1.7301267014259911,1.118444357479985,720.0,-2.341570570839213e-07,-0.00016859308110042334,0.0001038644035808589,0.0747823705782184,9.197709219506766e-05,0.06622350638044872,3.82750394690201e-05,0.027558028417694475,2.7701094147086977e-06,0.001994478778590262,-0.00014985294967839272,-0.10789412376844276,0.0,0.0,-9.397183653641067e-06,-0.006765972230621568,-4.8758655512242526e-05,-0.03510623196881462,localized_burst
