train_seed,eval_seed,learned_config,baseline_config,baseline_method,delta_service_cost_restricted,delta_service_cost_observed,delta_restricted_wait_horizon_min,delta_avg_wait_observed_min,delta_restricted_in_vehicle_horizon_min,delta_avg_in_vehicle_observed_min,delta_restricted_total_journey_horizon_min,delta_avg_total_journey_observed_min,delta_holding_vehicle_seconds,delta_holding_passenger_seconds,delta_fleet_denied_dispatch_events,delta_fleet_denied_trips,delta_fleet_readiness_delay_mean_s,delta_fleet_readiness_delay_max_s,delta_passenger_unserved_rate,delta_headway_cv,delta_fleet_overshoot,delta_trip_launch_rate,delta_trip_completion_rate,delta_holding_vehicle_seconds_per_launched_trip,delta_holding_passenger_min_per_generated,delta_fleet_denied_trip_rate,delta_fleet_denied_retry_trip_seconds,delta_commanded_holding_vehicle_seconds,delta_commanded_holding_passenger_seconds,delta_commanded_holding_passenger_min_per_generated,delta_terminal_actual_dispatch_gap_mean_s,delta_terminal_dispatch_execution_error_mean_s,delta_terminal_dispatch_execution_error_abs_mean_s
12011,45053,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.3691159543465394,-3.3691159543465394,-33.52802604062128,-33.52802604062128,-1.1416858021621952,-1.1416858021621952,-34.66931984278365,-34.66931984278346,-36104.0,-1165939.0,119777.0,155.0,457.16412167938927,1218.0,0.0,-0.016366350284411302,0.0,0.0,0.0,-137.80152652671757,-0.9081366664485782,0.5916034274809161,119777.0,-36104.0,-1165939.0,-0.9081366664485782,-73.94230730769232,10.288461923076923,22.780140846153838
12011,45061,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.4626726630103133,-2.4626726630103133,-24.61381288420056,-24.61381288420056,-1.0174788112467965,-1.0174788112467965,-25.630849695447466,-25.630849695447353,-32550.0,-958196.0,113413.0,166.0,432.87404564122136,1138.0,0.0,-0.0013143745902575998,0.0,0.0,0.0,-124.23664090076335,-0.8025497333199325,0.6335879847328245,113413.0,-32550.0,-958196.0,-0.8025497333199325,-73.71538423076925,10.515385,23.789542923076922
12011,45077,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-1.2767017441693211,-1.2767017441693211,-12.69940963768603,-12.69940963768603,-0.7898220173889037,-0.7898220173889037,-13.489553655074843,-13.489553655074932,-26277.0,-700374.0,128965.0,179.0,492.2328248091603,999.0,0.0,-0.006686780400718018,0.0,0.0,0.0,-100.2938926564886,-0.6443772512650661,0.6832056870229009,128965.0,-26277.0,-700374.0,-0.6443772512650661,-75.45769184615386,8.773077384615386,26.465470692307694
12011,45119,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.0820036642731945,-3.267023177053204,-31.30826658803752,-33.1583417158376,-1.200889213271136,-1.1205831934825365,-32.5093168013088,-34.27920590932013,-34240.0,-1225646.0,152648.0,162.0,582.6259538702291,1461.0,0.0067736047367005,0.014941970847053704,0.0,0.0,0.0,-130.6870233129771,-0.9162746208247359,0.6183206030534352,152648.0,-34240.0,-1225646.0,-0.9162746208247359,-73.4423080769231,10.788461153846153,28.81149353846154
12011,45131,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-1.8293841318672561,-1.8293841318672561,-18.52843819719209,-18.52843819719209,-0.8001245645741282,-0.8001245645741282,-19.32870676176624,-19.328706761766227,-27570.0,-794360.0,160110.0,168.0,611.10687070229,1352.0,0.0,0.023474687851953113,0.0,0.0,0.0,-105.22900811450381,-0.6801260657899244,0.6412209541984732,160110.0,-27570.0,-794360.0,-0.6801260657899244,-71.46153815384605,12.769231076923077,27.524018692307695
12011,45137,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.0110334515385775,-3.0110334515385775,-30.14494196058579,-30.14494196058579,-1.0302959485382441,-1.0302959485382441,-31.175629909124204,-31.175629909124034,-32111.0,-1037905.0,151496.0,159.0,578.2290074351145,1219.0,0.0,0.0034867445200016944,0.0,0.0,0.0,-122.56106901526721,-0.8537788014905483,0.6068706030534352,151496.0,-32111.0,-1037905.0,-0.8537788014905483,-73.4730772307692,10.757692,20.797117615384614
12037,45007,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.953419735762926,-2.953419735762926,-29.601204912574897,-29.601204912574897,-1.0863707499835833,-1.0863707499835833,-30.688020662558376,-30.688020662558483,-36872.0,-1095829.0,99200.0,158.0,378.6259542290077,984.0,0.0,0.006763755494563817,0.0,0.0,0.0,-140.73282439694657,-0.8993412738493864,0.6030534274809161,99200.0,-36872.0,-1095829.0,-0.8993412738493864,-75.39230723076923,8.838462,25.13207523076923
12037,45013,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.3718724259530717,-2.3718724259530717,-24.095287422211424,-24.095287422211424,-0.9595490542692371,-0.9595490542692371,-25.054845476480587,-25.054845476480658,-35605.0,-1013092.0,131638.0,158.0,502.43511496946564,1169.0,0.0,0.03765531626807092,0.0,0.0,0.0,-135.89694693129775,-0.8230498663579493,0.6030534274809161,131638.0,-35605.0,-1013092.0,-0.8230498663579493,-72.87692323076925,11.353846,27.358704923076917
12037,45053,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.488762954346539,-3.488762954346539,-34.657026040621275,-34.657026040621275,-1.2253978021621954,-1.2253978021621954,-35.88289684278365,-35.88289684278346,-43154.0,-1324804.0,76665.0,149.0,292.6145036793893,645.0,0.0,-0.022966350284411297,0.0,0.0,0.0,-164.70992352671757,-1.031875666448578,0.568702427480916,76665.0,-43154.0,-1324804.0,-1.031875666448578,-77.95384630769234,6.276922923076923,16.71753084615384
12037,45061,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.4345336630103134,-2.4345336630103134,-24.54781288420056,-24.54781288420056,-1.0182608112467957,-1.0182608112467957,-25.566132695447465,-25.56613269544735,-34690.0,-965781.0,89120.0,165.0,340.15267164122133,961.0,0.0,0.020285625409742408,0.0,0.0,0.0,-132.40457990076334,-0.8089027333199323,0.6297709847328246,89120.0,-34690.0,-965781.0,-0.8089027333199323,-75.18846123076924,9.042308,22.903783923076922
