full_variant_id,comparator_variant_id,analysis_scope,hypothesis_role,scenarios,metric,higher_is_better,raw_full_minus_comparator_mean,directional_improvement_mean,directional_ci95_low,directional_ci95_high,paired_effect_size_dz,p_value_raw,bootstrap_draws,randomization_draws,independent_training_replicates,heldout_paths_per_replicate,scenario_count,inferential_unit,path_seed_role,multiplicity_family,p_value_holm,claim_status
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_low_noise,secondary_baseline,stationary_low_noise,max_drawdown,False,-0.0026006225570086934,0.0026006225570086934,0.002362780251216689,0.002837651752421588,4.313592781588974,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_low_noise,secondary_baseline,stationary_low_noise,turnover,False,1.3483126771330447,-1.3483126771330447,-1.502351213073083,-1.2110073898505018,-3.6060107565140256,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.0007199856002879943,supported_harm
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_low_noise,secondary_baseline,stationary_low_noise,LowerLFDriftAbs,False,-0.005291156049040217,0.005291156049040217,0.004729598672084599,0.005822104346634846,3.7875700760825852,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_high_noise,secondary_baseline,stationary_high_noise,total_return,True,0.012107793383027745,0.012107793383027745,0.00950387243316052,0.014720070302255084,1.8184014587042399,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_high_noise,secondary_baseline,stationary_high_noise,sharpe,True,37.44058116556878,37.44058116556878,27.67261507246006,47.79664548098373,1.4573059208282497,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_high_noise,secondary_baseline,stationary_high_noise,max_drawdown,False,-0.009327637511067006,0.009327637511067006,0.007818386304842368,0.010923085893965333,2.330472616654518,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_high_noise,secondary_baseline,stationary_high_noise,turnover,False,-0.29015568083649657,0.29015568083649657,0.005453956433229062,0.5774572226460614,0.39396989419101003,0.06425871482570349,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.6425871482570349,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:stationary_high_noise,secondary_baseline,stationary_high_noise,LowerLFDriftAbs,False,-0.004842595071111048,0.004842595071111048,0.00432903032749641,0.005342846244192808,3.736357299870605,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:localized_burst,secondary_baseline,localized_burst,total_return,True,0.0012604721611003255,0.0012604721611003255,-0.0012801504200486806,0.00387815119141572,0.19124784985564525,0.3582128357432851,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.6503069938601228,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:localized_burst,secondary_baseline,localized_burst,sharpe,True,6.8423622007529685,6.8423622007529685,-2.9745662609983357,17.005448662860317,0.2676965812832577,0.20265594688106237,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,1.0,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:localized_burst,secondary_baseline,localized_burst,max_drawdown,False,-0.004497973751498439,0.004497973751498439,0.004139946579376668,0.004855107413049783,4.907235124432136,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:localized_burst,secondary_baseline,localized_burst,turnover,False,1.1583740602274588,-1.1583740602274588,-1.322039723258586,-1.005809331120832,-2.8868645755374582,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.0007199856002879943,supported_harm
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:localized_burst,secondary_baseline,localized_burst,LowerLFDriftAbs,False,-0.004442742848867005,0.004442742848867005,0.0039350305480710095,0.0049513876416679755,3.4768096631578995,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
