timestamp,ask_price_1,ask_size_1,bid_price_1,bid_size_1
34222.480409206,585.61,32.0,585.36,100.0
34222.480410913,585.61,18.0,585.36,100.0
34222.480429642,585.68,2.0,585.36,100.0
34222.670364787,585.68,2.0,585.4,100.0
34223.052028151,585.68,2.0,585.4,100.0
34223.052115679,585.68,2.0,585.4,118.0
34223.052156873,585.68,2.0,585.41,4.0
34223.064575892,585.68,2.0,585.43,35.0
34223.272801653,585.68,2.0,585.43,35.0
34223.272881711,585.68,20.0,585.43,35.0
34223.272916778,585.67,18.0,585.43,35.0
34224.087987753,585.68,20.0,585.43,35.0
34224.087990258,585.68,2.0,585.43,35.0
34225.019786766,585.68,2.0,585.46,18.0
34226.365420435,585.68,2.0,585.43,35.0
34226.452728871,585.68,2.0,585.37,100.0
34226.533704582,585.65,18.0,585.37,100.0
34226.826003805,585.66,18.0,585.37,100.0
34226.826009596,585.68,20.0,585.37,100.0
34226.826010048,585.68,2.0,585.37,100.0
34226.974302106,585.65,18.0,585.37,100.0
34227.437330595,585.65,18.0,585.47,100.0
34227.437468645,585.66,18.0,585.47,100.0
34227.43746982,585.68,2.0,585.47,100.0
34227.449996974,585.65,18.0,585.47,100.0
34227.595283027,585.64,14.0,585.47,100.0
34227.608626385,585.64,14.0,585.5,18.0
34227.731684828,585.64,14.0,585.53,6.0
34227.731849051,585.68,2.0,585.53,6.0
34227.732213652,585.8,200.0,585.53,6.0
34227.732521213,585.8,200.0,585.53,10.0
34227.732533703,585.79,18.0,585.53,10.0
34228.069592024,585.79,18.0,585.53,10.0
34228.069763888,585.8,200.0,585.53,10.0
34228.07636131,585.8,200.0,585.53,10.0
34228.076445351,585.8,218.0,585.53,10.0
34228.076486999,585.8,218.0,585.54,18.0
34228.977296262,585.79,10.0,585.54,18.0
34228.977434098,585.79,10.0,585.53,10.0
34228.977444304,585.79,10.0,585.53,4.0
34228.977445276,585.79,10.0,585.47,100.0
34229.468992439,585.79,10.0,585.5,18.0
34229.469103907,585.8,200.0,585.5,18.0
34229.482287293,585.77,18.0,585.5,18.0
34229.582360137,585.77,18.0,585.49,8.0
34229.582361218,585.77,18.0,585.47,100.0
34229.950358396,585.77,18.0,585.49,18.0
34229.950512807,585.79,18.0,585.49,18.0
34229.950532951,585.8,218.0,585.49,18.0
34229.950534712,585.8,200.0,585.49,18.0
34229.984817677,585.77,18.0,585.49,18.0
34230.185672925,585.77,18.0,585.5,70.0
34230.185809299,585.78,18.0,585.5,70.0
34230.185823624,585.79,18.0,585.5,70.0
34230.185824209,585.8,200.0,585.5,70.0
34230.26534354,585.8,200.0,585.52,8.0
34230.352536659,585.77,18.0,585.52,8.0
34231.363620767,585.77,18.0,585.55,18.0
34231.364322465,585.78,18.0,585.55,18.0
34231.364345473,585.8,218.0,585.55,18.0
34231.364359872,585.8,200.0,585.55,18.0
34231.437453602,585.78,18.0,585.55,18.0
34231.74844703,585.77,18.0,585.55,18.0
34231.748574392,585.77,18.0,585.52,8.0
34231.748576687,585.77,18.0,585.5,70.0
34231.780273498,585.77,18.0,585.52,100.0
34232.493236945,585.77,18.0,585.53,18.0
34232.493421468,585.8,200.0,585.53,18.0
34232.507320896,585.77,18.0,585.53,18.0
34232.799204526,585.77,18.0,585.52,100.0
34232.799220946,585.8,200.0,585.52,100.0
34233.00537675,585.77,18.0,585.52,100.0
34233.465320818,585.77,18.0,585.5,70.0
34233.465445276,585.8,218.0,585.5,70.0
34233.465464358,585.8,200.0,585.5,70.0
34233.465868311,585.8,200.0,585.53,18.0
34233.612153047,585.77,18.0,585.53,18.0
34233.612319978,585.77,18.0,585.5,70.0
34233.615478295,585.74,12.0,585.5,70.0
34233.75039403,585.74,12.0,585.53,18.0
34233.750574073,585.79,18.0,585.53,18.0
34233.750602162,585.8,200.0,585.53,18.0
34233.868678023,585.77,18.0,585.53,18.0
