check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
transit_native_real_demand_wait_noninferiority,Native Freq-HRL keeps boarded passenger wait noninferior under real AFC/APC demand profiles,supported,native_avg_board_wait_min,native_real_freqhrl,native_real_interval,decrease,6,-0.08326712773411948,-0.2250987895954791,0.05639255668876212,0.08326712773411948,-0.05816675255229837,0.22514081451292828,0.1,0.6666666666666666,0.6875
transit_native_real_demand_alighted_noninferiority,Native Freq-HRL keeps completed passenger alightings noninferior under real AFC/APC demand profiles,supported,native_alighted_pax,native_real_freqhrl,native_real_interval,increase,6,-4.833333333333333,-9.833333333333334,-0.8333333333333334,-4.833333333333333,-9.666666666666666,-0.8333333333333334,19.706833333333332,0.16666666666666666,0.375
demand_nb_vs_fourier_mse,dynamic harmonic count estimator is competitive with Fourier,not_supported,mse,dynamic_harmonic_nb,fourier,decrease,89,4202.465942081741,1172.4725638818998,8434.56132908367,-4202.465942081741,-8330.249779927652,-1351.4142154727226,,0.5730337078651685,0.20311681873649556
demand_nb_vs_fourier_mae,dynamic harmonic count estimator is competitive with Fourier,positive_mixed,mae,dynamic_harmonic_nb,fourier,decrease,89,-0.06931300573150355,-0.9109736441201556,0.7818117479501405,0.06931300573150355,-0.7756743220889424,0.8974005541544734,,0.6067415730337079,0.05577832765373429
demand_nb_vs_fourier_poisson_nll_no_const,dynamic harmonic count estimator is competitive with Fourier,not_supported,poisson_nll_no_const,dynamic_harmonic_nb,fourier,decrease,89,70.64362369108265,45.43026685608164,98.75330292504552,-70.64362369108265,-101.25306873334641,-45.75687168580995,,0.2696629213483146,1.611384920056498e-05
demand_afc_nb_vs_fourier_mse,dynamic harmonic count estimator on real AFC station-hour ridership,not_supported,mse,dynamic_harmonic_nb,fourier,decrease,24,16121.734715965664,6009.5750796315515,31280.093908684594,-16121.734715965664,-30826.26519082925,-5997.633837898743,,0.08333333333333333,3.5881996154785156e-05
demand_afc_nb_vs_fourier_mae,dynamic harmonic count estimator on real AFC station-hour ridership,not_supported,mae,dynamic_harmonic_nb,fourier,decrease,24,3.88590028156284,2.708004870838958,5.378863563080352,-3.88590028156284,-5.410756583999486,-2.6817539341653043,,0.0,1.1920928955078125e-07
demand_afc_nb_vs_fourier_poisson_nll_no_const,dynamic harmonic count estimator on real AFC station-hour ridership,not_supported,poisson_nll_no_const,dynamic_harmonic_nb,fourier,decrease,24,168.75362266682833,97.1531132120462,257.568021175977,-168.75362266682833,-259.6783231756346,-95.9214907333252,,0.125,0.0002771615982055664
demand_afc_profile_vs_fourier_mse,AFC-calibrated causal station-hour profile on real AFC ridership,supported,mse,afc_daily_profile,fourier,decrease,24,-7186235.182789865,-10935870.193830037,-4496470.474680746,7186235.182789865,4408500.6104646,10879621.410372201,,1.0,1.1920928955078125e-07
demand_afc_profile_vs_fourier_mae,AFC-calibrated causal station-hour profile on real AFC ridership,supported,mae,afc_daily_profile,fourier,decrease,24,-1487.0750954324758,-1840.2423363898527,-1211.6739699228253,1487.0750954324758,1219.0216634888027,1840.6963086052262,,1.0,1.1920928955078125e-07
demand_afc_profile_vs_fourier_poisson_nll_no_const,AFC-calibrated causal station-hour profile on real AFC ridership,supported,poisson_nll_no_const,afc_daily_profile,fourier,decrease,24,-6612.499261306569,-8039.111365479392,-5475.071577343052,6612.499261306569,5463.980465147414,8055.390939626745,,1.0,1.1920928955078125e-07
demand_apc_nb_vs_fourier_mse,dynamic harmonic count estimator on real APC route-halfhour boardings,supported,mse,dynamic_harmonic_nb,fourier,decrease,24,-377.70094853091314,-767.6740288201171,-71.23343768243005,377.70094853091314,58.759900735033,765.287046180404,,0.7083333333333334,0.06391465663909912
demand_apc_nb_vs_fourier_mae,dynamic harmonic count estimator on real APC route-halfhour boardings,positive_mixed,mae,dynamic_harmonic_nb,fourier,decrease,24,-0.9748569657398436,-2.4697389194557746,0.6107337393255627,0.9748569657398436,-0.6081685663391212,2.532063268790609,,0.75,0.022655844688415527
demand_apc_nb_vs_fourier_poisson_nll_no_const,dynamic harmonic count estimator on real APC route-halfhour boardings,not_supported,poisson_nll_no_const,dynamic_harmonic_nb,fourier,decrease,24,51.491210955745025,18.71508904776746,94.39150217454969,-51.491210955745025,-92.36892314028395,-19.684331055520623,,0.125,0.0002771615982055664
