domain,check,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,win_rate,status,source_path
public_market_intraday,haar_wavelet_vs_ema_max_drawdown,max_drawdown,haar_wavelet,ema,decrease,1,0.005465242219230504,0.005465242219230504,0.005465242219230504,-0.005465242219230504,-0.005465242219230504,-0.005465242219230504,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,haar_wavelet_vs_ema_turnover,turnover,haar_wavelet,ema,decrease,1,5.735975488030055,5.735975488030055,5.735975488030055,-5.735975488030055,-5.735975488030055,-5.735975488030055,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,1,6.184717966566078,6.184717966566078,6.184717966566078,6.184717966566078,6.184717966566078,6.184717966566078,1.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,1,-0.002022552011578971,-0.002022552011578971,-0.002022552011578971,-0.002022552011578971,-0.002022552011578971,-0.002022552011578971,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,1,0.002345262627814426,0.002345262627814426,0.002345262627814426,-0.002345262627814426,-0.002345262627814426,-0.002345262627814426,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
public_market_intraday,adaptive_wavelet_vs_ema_turnover,turnover,adaptive_wavelet,ema,decrease,1,2.4303568530176247,2.4303568530176247,2.4303568530176247,-2.4303568530176247,-2.4303568530176247,-2.4303568530176247,0.0,summary_only,transit_hrl/results/trading_public_market_intraday_encoder_ablation/summary.json
order_book_l2,adaptive_wavelet_vs_ema_sharpe,sharpe,adaptive_wavelet,ema,increase,30,1.4779361517297507,-1.3086756574791518,3.8864844322813097,1.4779361517297507,-1.382223241728669,4.120249189483057,0.5,positive_mixed,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,adaptive_wavelet_vs_ema_total_return,total_return,adaptive_wavelet,ema,increase,30,1.9689467631385977e-05,1.4232444003354588e-06,3.712119691960806e-05,1.9689467631385977e-05,2.219395091860218e-06,3.8514910516218856e-05,0.5666666666666667,supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,adaptive_wavelet_vs_ema_max_drawdown,max_drawdown,adaptive_wavelet,ema,decrease,30,-2.573369432737893e-05,-4.151196204622602e-05,-7.949943249853468e-06,2.573369432737893e-05,9.158479091087394e-06,4.2249863371153956e-05,0.6666666666666666,supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,adaptive_wavelet_vs_ema_avg_slippage_bps,avg_slippage_bps,adaptive_wavelet,ema,decrease,30,-7.975102060224041e-16,-4.17633520359099e-15,2.383278759528669e-15,7.975102060224041e-16,-2.383325018821362e-15,3.989401401819729e-15,0.2,inconclusive,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,adaptive_wavelet_vs_ema_partial_fill_rate,partial_fill_rate,adaptive_wavelet,ema,decrease,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,adaptive_wavelet_vs_ema_fill_rate,fill_rate,adaptive_wavelet,ema,increase,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,neural_state_space_vs_ema_sharpe,sharpe,neural_state_space,ema,increase,30,2.292473181667461,-0.020502212897556753,4.485247617591384,2.292473181667461,0.10465944320530396,4.658385472772606,0.5666666666666667,supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,neural_state_space_vs_ema_total_return,total_return,neural_state_space,ema,increase,30,2.971113079914082e-05,1.2653232228638326e-05,4.622267084986706e-05,2.971113079914082e-05,1.3189172148157236e-05,4.6336559300407716e-05,0.6,supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,neural_state_space_vs_ema_max_drawdown,max_drawdown,neural_state_space,ema,decrease,30,-4.202533971711849e-05,-5.775890151208644e-05,-2.6206978159026958e-05,4.202533971711849e-05,2.678643948289196e-05,5.8077864820297765e-05,0.6666666666666666,supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,neural_state_space_vs_ema_avg_slippage_bps,avg_slippage_bps,neural_state_space,ema,decrease,30,3.978299171573478e-16,-2.581268532253489e-15,2.9902006796570883e-15,-3.978299171573478e-16,-2.990246938949781e-15,2.385129131236378e-15,0.13333333333333333,not_supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,neural_state_space_vs_ema_partial_fill_rate,partial_fill_rate,neural_state_space,ema,decrease,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
order_book_l2,neural_state_space_vs_ema_fill_rate,fill_rate,neural_state_space,ema,increase,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_supported,transit_hrl/results/trading_order_book_matching_validation/summary.json
