environment,disturbance_mode,arm,upper_constraint_mode,upper_dual_lr,lower_dual_lr,lower_action_router_mode,lower_action_router_alpha,lower_action_router_strength,lower_action_router_training_schedule,lower_action_router_warmup_fraction,lower_action_router_ramp_fraction,upper_hf_penalty_coef,replicate_count,baseline_return_mean,candidate_return_mean,return_difference_mean,return_difference_one_sided_lower,return_difference_one_sided_upper,reward_noninferiority_margin,reward_noninferiority_pass,drift_materiality_floor,responsibility_drift_baseline_mean,responsibility_drift_candidate_mean,responsibility_drift_difference_mean,responsibility_drift_difference_one_sided_upper,responsibility_drift_candidate_one_sided_upper,responsibility_drift_required_reduction,responsibility_drift_baseline_material,responsibility_drift_gate_type,responsibility_drift_pass,responsibility_drift_normalized_slack,raw_lower_drift_baseline_mean,raw_lower_drift_candidate_mean,raw_lower_drift_difference_mean,raw_lower_drift_difference_one_sided_upper,raw_lower_drift_candidate_one_sided_upper,raw_lower_drift_required_reduction,raw_lower_drift_baseline_material,raw_lower_drift_gate_type,raw_lower_drift_pass,raw_lower_drift_normalized_slack,latent_lower_drift_mean,upper_hf_rms,upper_hf_rms_one_sided_upper,upper_hf_budget_pass,effective_lower_action_rms_mean,effective_lower_activity_margin_one_sided_lower,effective_lower_activity_pass,router_clip_rate_mean,router_clip_rate_one_sided_upper,router_clip_pass,reconstruction_rms_max,reconstruction_integrity_pass,minimum_normalized_safety_slack,condition_gate_pass
HalfCheetah-v5,mixed,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,292.0489489141506,422.99757583757537,130.94862692342474,44.105764243689514,218.35577127569795,5.840978978283013,True,2.5e-05,0.0007180838157744653,0.0008892185733725947,0.0001711347575981294,0.0003202667043932545,nan,0.0,True,relative_noninferiority,False,-12.810668175730179,0.003556775363032783,0.003288182269206094,-0.0002685930938266893,0.0006201956480295276,nan,0.0003556775363032783,True,strict_relative_improvement,False,-2.743702046734547,0.0038924613564574194,0.07356081875498306,0.08115549154103391,True,0.38894934981794776,0.28730428094385174,True,0.0,0.0,True,7.344951323166981e-09,True,-12.810668175730179,False
HalfCheetah-v5,ood_chirp,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,360.9898096602302,497.65837677380836,136.66856711357815,31.67532475474121,242.60861473709036,7.219796193204604,True,2.5e-05,0.0006805179729159551,0.0008737933305857522,0.0001932753576697971,0.0003583401408260403,nan,0.0,True,relative_noninferiority,False,-14.33360563304161,0.0037586443650328926,0.0031317418062383113,-0.0006269025587945813,0.00043992354422141104,nan,0.0003758644365032893,True,strict_relative_improvement,False,-2.170431414884768,0.0037021085903495184,0.07637281353206266,0.08444244255980242,True,0.3900730847375738,0.2894061869995038,True,0.0,0.0,True,7.2985093993827906e-09,True,-14.33360563304161,False
Hopper-v5,standard,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,194.86911089068286,240.31815570428196,45.449044813599116,24.5336710013885,67.07985374412762,3.8973822178136572,True,2.5e-05,0.03998106919289868,0.029999388376332314,-0.009981680816566366,-0.00412847928212503,nan,0.0,True,relative_noninferiority,True,165.1391712850012,0.08334280965944099,0.05088145548334875,-0.03246135417609225,-0.015421441776506404,nan,0.0083342809659441,True,strict_relative_improvement,True,0.8503625975080714,0.056373605749387934,0.10137043806978788,0.1093127163877815,False,0.2537837077484012,0.15140203093349697,True,0.0,0.0,True,1.6544398582740212e-08,True,-0.093127163877815,False
Hopper-v5,low_frequency,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,193.4918246592992,237.52768422096807,44.03585956166888,20.102204662130195,68.08640046160184,3.869836493185984,True,2.5e-05,0.04199970991125456,0.03249220591833373,-0.009507503992920826,-0.003488256228424772,nan,0.0,True,relative_noninferiority,True,139.53024913699088,0.08637472550070993,0.053709619706805024,-0.0326651057939049,-0.01601514387096248,nan,0.008637472550070994,True,strict_relative_improvement,True,0.8541470063289341,0.059346726934211586,0.11212443310633356,0.11958062413431254,False,0.263995155132413,0.16190377244522106,True,0.0,0.0,True,1.793125626547563e-08,True,-0.19580624134312538,False
Hopper-v5,high_frequency,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,196.98015089934,239.5139821103097,42.53383121096971,19.860723775552746,65.4290053719055,3.9396030179868,True,2.5e-05,0.0405744352693298,0.030280042532947894,-0.010294392736381905,-0.0042166550101846445,nan,0.0,True,relative_noninferiority,True,168.66620040738576,0.08388153597168166,0.05134566006583413,-0.032535875905847535,-0.015385252159595924,nan,0.008388153597168166,True,strict_relative_improvement,True,0.8341643344239633,0.05688792181015884,0.10206951544544471,0.10962039613410003,False,0.2579577044049333,0.15519630708013699,True,0.0,0.0,True,1.6291491393498984e-08,True,-0.09620396134100026,False
Hopper-v5,mixed,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,194.28366377533285,236.67607420951285,42.39241043417998,18.76588181013926,66.17851556042392,3.885673275506657,True,2.5e-05,0.04233195615723566,0.03266879066361633,-0.00966316549361933,-0.003651646624911978,nan,0.0,True,relative_noninferiority,True,146.06586499647912,0.08647481085109888,0.053846111753797526,-0.03262869909730135,-0.016249875789006267,nan,0.008647481085109888,True,strict_relative_improvement,True,0.8791455718806896,0.05948770608973547,0.11183014971545133,0.11918853713842936,False,0.2669615666023739,0.164228866918608,True,0.0,0.0,True,1.8352430554893685e-08,True,-0.19188537138429357,False
Hopper-v5,ood_chirp,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,196.61844031657103,239.34550365022116,42.72706333365015,21.626487960898345,64.16983950061879,3.9323688063314206,True,2.5e-05,0.04135646659525822,0.030978002591467897,-0.01037846400379032,-0.004314929024905016,nan,0.0,True,relative_noninferiority,True,172.5971609962006,0.08392427003793948,0.051970550792137166,-0.031953719245802314,-0.015241176865017468,nan,0.008392427003793949,True,strict_relative_improvement,True,0.816063083792974,0.057515592794192126,0.10936253044339084,0.11721739192960329,False,0.25770108134385994,0.1566465727335146,True,0.0,0.0,True,1.9558904491162853e-08,True,-0.17217391929603282,False
Walker2d-v5,standard,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,295.88261565165226,287.8682417908075,-8.014373860844843,-25.705034969536012,9.997773358855218,5.917652313033045,False,2.5e-05,0.007975208770285912,0.00664309253196629,-0.0013321162383196218,8.946026869502977e-05,nan,0.0,True,relative_noninferiority,False,-3.5784107478011906,0.05171189237224968,0.043324674913219285,-0.008387217459030389,0.001062892644861271,nan,0.0051711892372249685,True,strict_relative_improvement,False,-1.2055412393748821,0.051889803117351724,0.025657989431862507,0.027081116182226746,True,0.21093294351241376,0.14053857656841703,True,0.0,0.0,True,1.946796942037276e-08,True,-3.5784107478011906,False
Walker2d-v5,low_frequency,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,286.5172055227674,287.0211728259409,0.5039673031734004,-10.505335499952137,11.512536479837745,5.7303441104553485,False,2.5e-05,0.008265283739666472,0.006964986639659464,-0.001300297100007009,0.00013940426981318512,nan,0.0,True,relative_noninferiority,False,-5.576170792527405,0.049871237108476504,0.04155115844788861,-0.0083200786605879,0.0004556934914625035,nan,0.004987123710847651,True,strict_relative_improvement,False,-1.0913740099270668,0.04963465180046368,0.028312539166739686,0.030282011693896643,True,0.206689399261484,0.13841248391663435,True,0.0,0.0,True,1.92854684510752e-08,True,-5.576170792527405,False
Walker2d-v5,high_frequency,router_a004_s010_linear_w000_r025,disabled,0.0,0.0,causal_ema_high_pass,0.04,0.1,delayed_linear,0.0,0.25,0.0,16,301.70626048955194,292.7326033390999,-8.973657150451999,-22.33328308949614,4.298472772015409,6.034125209791039,False,2.5e-05,0.007854143073557255,0.006663422064802081,-0.001190721008755174,0.00020156143863795246,nan,0.0,True,relative_noninferiority,False,-8.062457545518098,0.05126997872259657,0.042942354768925176,-0.008327623953671391,0.0008978707562759806,nan,0.005126997872259657,True,strict_relative_improvement,False,-1.1751260247510606,0.05141431452779323,0.02651110097420947,0.027989377941291093,True,0.2099598696202883,0.14018145046408612,True,0.0,0.0,True,1.953612044992886e-08,True,-8.062457545518098,False
