seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
1691,native_promotion_replan,supported_native_episode_loop,-15096.573,8.615,0.7413,-10.0976,119.0,0.5458015267175572,335.69066429215343,5.185712968808625,-44.52671755725191,4.184355166195539,0.6923076923076924,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12188.705548095702
1701,native_promotion_replan,supported_native_episode_loop,-18747.395,4.221,0.4711,-5.1632,129.0,0.5076335877862596,352.9320456186172,4.827295480198428,-43.44274809160305,5.9587133010170685,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25182.774792480468
1711,native_promotion_replan,supported_native_episode_loop,-19617.005,16.193,0.6658,-17.5246,131.0,0.5,337.53704355533495,5.252499465087916,-44.23664122137404,5.073252808811875,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219728.5791015625
1721,native_promotion_replan,supported_native_episode_loop,-15395.522,6.447,0.506,-7.459,101.0,0.6145038167938931,334.1216935214802,8.396186517870582,-44.416030534351144,4.637900893869741,0.6923076923076924,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10322.37247314453
1731,native_promotion_replan,supported_native_episode_loop,-6192.866,4.557,0.4434,-5.4438,121.0,0.5381679389312977,344.33647994389594,4.573926679734749,-44.11068702290076,5.217333879525279,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.911901855468
1741,native_promotion_replan,supported_native_episode_loop,-18247.389,4.079,0.6441,-5.3671999999999995,153.0,0.41603053435114506,332.3335902869,6.453675627948497,-44.57251908396947,4.100885278379497,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82626.50749511718
1751,native_promotion_replan,supported_native_episode_loop,-19425.95,29.845,0.5942,-31.0334,107.0,0.5916030534351145,335.80752882897144,7.45531952609358,-44.465648854961835,4.4073112572087005,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102212.93706054687
1761,native_promotion_replan,supported_native_episode_loop,-3357.186,7.016,0.3659,-7.7478,86.0,0.6717557251908397,341.02758439454715,6.407645255548393,-44.50763358778626,4.258572285583939,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10847.39825744629
1771,native_promotion_replan,supported_native_episode_loop,-16187.068,14.901,0.4853,-15.871599999999999,118.0,0.549618320610687,344.9972456803152,4.967643662997204,-44.36641221374046,4.672815825439387,0.8461538461538461,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76139.56416015625
1781,native_promotion_replan,supported_native_episode_loop,-2790.27,4.287,0.5321,-5.3512,120.0,0.5419847328244275,343.7749117585615,5.716751113512099,-44.396946564885496,4.572034790650184,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4660.868756103516
