method,seed,series_id,mse,mae,poisson_nll_no_const,n,mean_count
fourier,14,"609:Bryant Pk (B,D,F,M)/5 Av (7)",4536435.446016829,1369.4835799150558,-4267.168393621629,313,1423.9910979228487
dynamic_harmonic_nb,14,"609:Bryant Pk (B,D,F,M)/5 Av (7)",4536422.895610173,1370.988047648806,-4289.360724257213,313,1423.9910979228487
afc_daily_profile,14,"609:Bryant Pk (B,D,F,M)/5 Av (7)",383517.79936801206,319.8581826809089,-9384.948828444001,313,1423.9910979228487
ema,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",3717278.980964078,1341.90826785444,-4650.328726830464,313,1390.551928783383
fourier,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",3759554.3390622884,1340.6999108995838,-4173.111944584394,313,1390.551928783383
dynamic_harmonic_nb,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",3760730.4271195633,1342.2653925406928,-4157.937989834875,313,1390.551928783383
afc_daily_profile,15,"613:Lexington Av (N,R,W)/59 St (4,5,6)",259946.28267378663,289.3681295610806,-9065.038953391384,313,1390.551928783383
ema,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",2772694.053849401,1330.888176635281,-4453.372483445746,313,1359.8813056379822
fourier,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",2797754.6669630725,1330.944097464968,-4115.916151839133,313,1359.8813056379822
dynamic_harmonic_nb,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",2800076.8028194183,1332.3961179047642,-4067.5047513416807,313,1359.8813056379822
afc_daily_profile,16,"167:W 4 St-Wash Sq (A,C,E,B,D,F,M)",81501.10526813933,203.51593301030766,-8792.653998178766,313,1359.8813056379822
ema,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",2635201.168322272,1267.762637021285,-4116.581988315157,313,1310.0682492581602
fourier,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",2651861.9407294705,1267.1144343266462,-3891.1936648455926,313,1310.0682492581602
dynamic_harmonic_nb,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",2654603.3530338546,1268.7582809930009,-3825.7440160329234,313,1310.0682492581602
afc_daily_profile,17,"617:Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",379352.3918257989,336.8775836053462,-8246.596495989861,313,1310.0682492581602
ema,18,"601:14 St (F,M,1,2,3)/6 Av (L)",2680190.9528493974,1279.252175645931,-4260.281781690472,313,1309.0949554896142
fourier,18,"601:14 St (F,M,1,2,3)/6 Av (L)",2705057.153196712,1278.8324253578014,-3921.928438428953,313,1309.0949554896142
dynamic_harmonic_nb,18,"601:14 St (F,M,1,2,3)/6 Av (L)",2709307.026772192,1281.2454033944553,-3814.5922128357774,313,1309.0949554896142
afc_daily_profile,18,"601:14 St (F,M,1,2,3)/6 Av (L)",81446.82701037098,200.994743758482,-8448.038066302497,313,1309.0949554896142
ema,19,"397:86 St (4,5,6)",2868271.385761948,1266.5781567931688,-4223.718907746816,313,1305.632047477745
fourier,19,"397:86 St (4,5,6)",2895139.6925587663,1266.177626768384,-3869.877012795858,313,1305.632047477745
dynamic_harmonic_nb,19,"397:86 St (4,5,6)",2899530.293328881,1268.7350693038143,-3747.369964943657,313,1305.632047477745
afc_daily_profile,19,"397:86 St (4,5,6)",163489.14521890337,255.95822872673398,-8408.903680470408,313,1305.632047477745
ema,20,"623:Canal St (J,N,Q,R,W,Z,6)",3054726.05333511,1245.6594451941505,-4247.0166305955645,313,1274.658753709199
fourier,20,"623:Canal St (J,N,Q,R,W,Z,6)",3092507.526826657,1245.837649080596,-3721.991156008849,313,1274.658753709199
dynamic_harmonic_nb,20,"623:Canal St (J,N,Q,R,W,Z,6)",3096781.6725681336,1248.6530011356037,-3600.959349259341,313,1274.658753709199
afc_daily_profile,20,"623:Canal St (J,N,Q,R,W,Z,6)",88937.19604914622,196.1616636434702,-8371.559251504792,313,1274.658753709199
ema,21,"619:Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",2659796.444212055,1213.866614464673,-4038.163538897836,313,1239.9762611275964
fourier,21,"619:Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",2689403.9661522387,1213.8811866835904,-3613.737520226281,313,1239.9762611275964
dynamic_harmonic_nb,21,"619:Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",2692766.0038789795,1216.1555428158747,-3525.5009998682135,313,1239.9762611275964
afc_daily_profile,21,"619:Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",74765.69666631326,194.7566763452308,-8029.257276146222,313,1239.9762611275964
ema,22,"313:72 St (1,2,3)",2131380.4595267475,1152.4128680588103,-3681.772278300436,313,1181.5074183976262
fourier,22,"313:72 St (1,2,3)",2148969.9714881233,1152.8230600080735,-3398.0128041813196,313,1181.5074183976262
dynamic_harmonic_nb,22,"313:72 St (1,2,3)",2152060.0508937086,1154.7124305287443,-3300.6740738326507,313,1181.5074183976262
afc_daily_profile,22,"313:72 St (1,2,3)",101686.67193386614,207.16674691072242,-7482.828294499346,313,1181.5074183976262
ema,23,120:Bedford Av (L),1939961.9391093925,1105.6021104984773,-3462.2357918771136,313,1125.7893175074184
fourier,23,120:Bedford Av (L),1955082.2821706245,1105.6653335622168,-3205.7489399571255,313,1125.7893175074184
dynamic_harmonic_nb,23,120:Bedford Av (L),1958772.949860865,1107.8069420514405,-3090.692423387859,313,1125.7893175074184
afc_daily_profile,23,120:Bedford Av (L),143503.15539802492,240.64802961005725,-7074.525235995906,313,1125.7893175074184
