route_id,grouping_type,direction_id,direction_name,stop_sequence,stop_id
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,22,MTA_302172
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,23,MTA_302173
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,24,MTA_302174
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,25,MTA_302175
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,26,MTA_302176
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,27,MTA_302177
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,28,MTA_302178
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,29,MTA_302179
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,30,MTA_302180
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,31,MTA_308579
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,32,MTA_302182
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,33,MTA_301384
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,34,MTA_301973
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,35,MTA_307238
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,36,MTA_308763
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,37,MTA_301977
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,38,MTA_301978
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,39,MTA_301979
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,40,MTA_301980
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,41,MTA_302193
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,42,MTA_302194
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,43,MTA_300733
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,44,MTA_302196
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,45,MTA_302167
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,46,MTA_302197
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,47,MTA_302198
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,48,MTA_307157
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,49,MTA_302199
MTA NYCT_Q24,direction,1,BED STUY PATCHEN AV,50,MTA_901081
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,0,MTA_302058
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,1,MTA_307228
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,2,MTA_302059
