stop_id,code,name,lat,lon,direction,wheelchair_boarding
MTA_302780,302780,39 ST/6 AV,40.650183,-74.002014,NW,UNKNOWN
MTA_302781,302781,39 ST/5 AV,40.651232,-74.003752,NW,UNKNOWN
MTA_302975,302975,3 AV/37 ST,40.655125,-74.007095,SW,UNKNOWN
MTA_305873,305873,7 AV/POLY PREP ENT,40.612347,-74.023602,N,UNKNOWN
MTA_305883,305883,8 AV/73 ST,40.628211,-74.017078,NE,UNKNOWN
MTA_305884,305884,8 AV/71 ST,40.629429,-74.015754,NE,UNKNOWN
MTA_305885,305885,8 AV/BAY RIDGE AV,40.630541,-74.014598,NE,UNKNOWN
MTA_305886,305886,8 AV/67 ST,40.631716,-74.013373,NE,UNKNOWN
MTA_305887,305887,8 AV/65 ST,40.632874,-74.012174,NE,UNKNOWN
MTA_305888,305888,8 AV/62 ST,40.634543,-74.01043,NE,UNKNOWN
MTA_305889,305889,8 AV/60 ST,40.635699,-74.009234,NE,UNKNOWN
MTA_305891,305891,8 AV/57 ST,40.637406,-74.007458,NE,UNKNOWN
MTA_305892,305892,8 AV/55 ST,40.638509,-74.006309,NE,UNKNOWN
MTA_305895,305895,8 AV/50 ST,40.641315,-74.003391,NE,UNKNOWN
MTA_305897,305897,8 AV/47 ST,40.642984,-74.001654,NE,UNKNOWN
MTA_305900,305900,8 AV/41 ST,40.646351,-73.998151,NE,UNKNOWN
MTA_305906,305906,36 ST/4 AV,40.654583,-74.004775,NW,UNKNOWN
MTA_305907,305907,36 ST/3 AV,40.655395,-74.00613,NW,UNKNOWN
MTA_305922,305922,8 AV/40 ST,40.64646,-73.998197,SW,UNKNOWN
MTA_305925,305925,8 AV/46 ST,40.643115,-74.001672,SW,UNKNOWN
MTA_305927,305927,8 AV/49 ST,40.641426,-74.003426,SW,UNKNOWN
MTA_305929,305929,8 AV/52 ST,40.639762,-74.005166,SW,UNKNOWN
MTA_305932,305932,8 AV/58 ST,40.636442,-74.008676,SW,UNKNOWN
MTA_305933,305933,8 AV/60 ST,40.635279,-74.009897,SW,UNKNOWN
MTA_305934,305934,8 AV/62 ST,40.634447,-74.010758,SW,UNKNOWN
MTA_305935,305935,8 AV/65 ST,40.632405,-74.012876,SW,UNKNOWN
MTA_305936,305936,8 AV/67 ST,40.631282,-74.014054,SW,UNKNOWN
MTA_305939,305939,7 AV SERVICE RD SOUTH/OVINGTON AV,40.630488,-74.017516,S,UNKNOWN
MTA_305940,305940,7 AV SERVICE RD SOUTH/72 ST,40.629052,-74.017999,S,UNKNOWN
MTA_305951,305951,7 AV/92 ST,40.61419,-74.023068,S,UNKNOWN
MTA_305952,305952,7 AV/POLY PREP ENT,40.611979,-74.023953,S,UNKNOWN
MTA_307178,307178,7 AV/POLY PL,40.61,-74.024703,S,UNKNOWN
