environment,optimizer_seed,baseline_episode_return,full_method_episode_return,episode_return_difference,baseline_LowerLFDriftAbs,full_method_LowerLFDriftAbs,relative_responsibility_drift_reduction,baseline_RawLowerLFDriftAbs,full_method_RawLowerLFDriftAbs,relative_raw_lower_drift_reduction,full_method_UpperHFPowerAbs,full_method_upper_hf_rms,selected_branch,reconstruction_rms_max,baseline_checkpoint_match
HalfCheetah-v5,3557572450,392.68867241342497,392.68867241342497,0.0,0.0034612249162346066,0.0006806804721788988,0.803341161394563,0.0034612249162346066,0.0034612249162346066,0.0,0.006346513359107147,0.07966500711797588,no_leakage,6.234233702463756e-09,True
HalfCheetah-v5,514480913,665.8787964910905,665.8787964910905,0.0,0.003493144030938265,0.0006387867776801854,0.8171312800094859,0.003493144030938265,0.003493144030938265,0.0,0.00223738426402421,0.047300996437963226,no_leakage,6.134927672462794e-09,True
HalfCheetah-v5,3888877169,909.47375765209,909.47375765209,0.0,0.0012773866988950804,0.0004356440742755882,0.6589567789828925,0.0012773866988950804,0.0012773866988950804,0.0,0.000898081180928071,0.029968002618260547,no_leakage,5.0175488206191575e-09,True
HalfCheetah-v5,3466954944,1281.4650918145148,1281.4650918145148,0.0,0.0005881953681040376,0.0003902436340284392,0.3365407903732175,0.0005881953681040376,0.0005881953681040376,0.0,0.0010031064954403805,0.03167185652026702,no_leakage,7.028953535504993e-09,True
HalfCheetah-v5,2796825593,59.14756744351687,54.26219140560594,-4.88537603791093,0.0009562807334401211,0.0004370985619734428,0.5429181550055642,0.0009562807334401211,0.0011416353821166849,-0.19382869715441142,0.00782073059103056,0.08843489464589506,reward_guarded_adam_projection,4.811734790915471e-09,True
HalfCheetah-v5,1083410249,470.42933625840186,470.42933625840186,0.0,0.004081000272058733,0.0008333838327081653,0.7957893219429387,0.004081000272058733,0.004081000272058733,0.0,0.0018118225704525932,0.042565509164728586,no_leakage,4.46362848913866e-09,True
HalfCheetah-v5,3094989646,346.3587988851727,605.0246742405025,258.6658753553298,0.001725198964552729,0.0007815470932241036,0.5469814732779383,0.001725198964552729,0.0009455916032236878,0.45189417414887,0.005286965018117278,0.07271151915698969,scalarized,4.084548607788459e-09,True
HalfCheetah-v5,402019680,688.4960876700022,688.4960876700022,0.0,0.005485606537363971,0.0009599806676995497,0.8250000868343622,0.005485606537363971,0.005485606537363971,0.0,0.0026843482178907857,0.051810695979602375,no_leakage,6.316605321824018e-09,True
HalfCheetah-v5,3276696591,184.6533472453438,184.6533472453438,0.0,0.0006163480585194477,0.00043358161688158476,0.29653121983849995,0.0006163480585194477,0.0006163480585194477,0.0,0.006086311715584106,0.07801481728225804,no_leakage,3.635719503991443e-09,True
HalfCheetah-v5,3507872935,251.99563466110612,251.99563466110612,0.0,0.004936235131902768,0.0013641667408567319,0.7236422689753664,0.004936235131902768,0.004936235131902768,0.0,0.0029757035389655546,0.0545500095230565,no_leakage,4.317502162573802e-09,True
HalfCheetah-v5,2829590401,363.9919199899163,363.9919199899163,0.0,0.0008631938165013658,0.0005728244204261503,0.33638956920720264,0.0008631938165013658,0.0008631938165013658,0.0,0.002473282904866882,0.04973211140567915,no_leakage,3.3955225003003264e-09,True
HalfCheetah-v5,655399053,342.7173751725303,342.7173751725303,0.0,0.0006734898709902431,0.00043322665541389426,0.35674362143425553,0.0006734898709902431,0.0006734898709902431,0.0,0.0013291247066818269,0.036457162625221216,no_leakage,3.1086031216363883e-09,True
HalfCheetah-v5,4222339063,689.5608338543732,689.5608338543732,0.0,0.0012588586909197644,0.0006059965016222153,0.5186143560088909,0.0012588586909197644,0.0012588586909197644,0.0,0.0009402417950695955,0.03066336242276107,no_leakage,4.097570191532555e-09,True
HalfCheetah-v5,1548381879,403.3206429725903,403.3206429725903,0.0,0.0007586243546112544,0.00032053987564728103,0.5774722051844263,0.0007586243546112544,0.0007586243546112544,0.0,0.000999818913278369,0.03161991323957687,no_leakage,3.071876606957451e-09,True
Hopper-v5,3596220588,298.55519602260654,298.55519602260654,0.0,0.03972352009430909,0.01748453916617217,0.5598441647502166,0.03972352009430909,0.03972352009430909,0.0,0.007455624491792959,0.08634595816709059,no_leakage,1.140504820313564e-08,True
Hopper-v5,707075335,176.69722815866226,241.58113243495964,64.88390427629739,0.06252095225616741,0.012848634921039905,0.7944907353874725,0.06252095225616741,0.01847495239218398,0.7044998240512003,0.01756856235386683,0.13254645356955738,reward_guarded_adam_projection,1.4627003408210658e-08,True
Hopper-v5,2102554650,214.02806697575335,214.02806697575335,0.0,0.041624643040784295,0.030034452961277613,0.2784453927484851,0.041624643040784295,0.041624643040784295,0.0,0.006145631988993358,0.07839408133904854,no_leakage,1.1952980923266744e-08,True
Hopper-v5,729733352,181.45673859255353,197.00740529324258,15.55066670068905,0.07539274928941694,0.009665113520479909,0.8718031427216222,0.07539274928941694,0.011426697530276794,0.8484377126716509,0.014344881124546743,0.11977011782805735,reward_guarded_adam_projection,1.2146836120557104e-08,True
Hopper-v5,2677106215,348.4505790943487,348.4505790943487,0.0,0.026759522022753456,0.020678293158284837,0.22725476409099488,0.026759522022753456,0.026759522022753456,0.0,0.009912655257556592,0.09956231846214005,no_leakage,1.254977109975026e-08,True
Hopper-v5,2294726814,208.01183560516705,208.01183560516705,0.0,0.04975551578761993,0.027245668456658316,0.452409084191676,0.04975551578761993,0.04975551578761993,0.0,0.011985672328533937,0.1094790953951207,no_leakage,9.131022518943748e-09,True
Hopper-v5,180002411,178.01036478531282,196.0507083411212,18.04034355580839,0.05247781650953014,0.014065317531190025,0.7319759382779252,0.05247781650953014,0.02541651364472137,0.5156712810239418,0.01621053032509633,0.127320580917212,reward_guarded_adam_projection,1.1269758562123405e-08,True
Hopper-v5,2597703301,177.60704332513623,268.0511914493518,90.44414812421556,0.05621725923112321,0.003989974538391279,0.9290258082133194,0.05621725923112321,0.005360627470043069,0.9046444536186976,0.012733405896755118,0.11284239405806276,reward_guarded_adam_projection,1.384424562129454e-08,True
Hopper-v5,4120591705,302.90463668418954,348.9267703060212,46.02213362183164,0.014942001701032126,0.006978261842647439,0.5329767736430245,0.014942001701032126,0.010244096652032944,0.31440935043359497,0.02106732638040686,0.1451458796535639,reward_guarded_adam_projection,1.2708791121098536e-08,True
Hopper-v5,2971934405,171.70890689448007,170.97086752417724,-0.738039370302829,0.15582307338947515,0.00493674795723516,0.9683182480626864,0.15582307338947515,0.005390964381680441,0.965403298340767,0.007833787845711124,0.08850868796740309,reward_guarded_adam_projection,1.8509141750729082e-08,True
Hopper-v5,3557572450,175.5253780733677,176.1755472301874,0.6501691568196861,0.032106240423765954,0.0051884562916460425,0.8383972641092727,0.032106240423765954,0.0069832711742536455,0.782494895631429,0.01428821109865996,0.11953330539502353,reward_guarded_adam_projection,1.4471300534326016e-08,True
Hopper-v5,514480913,174.71474669475293,174.36061667670378,-0.35413001804914757,0.04229877594244143,0.0036321883966243655,0.9141301771576816,0.04229877594244143,0.0037645940687952018,0.910999928841489,0.014225935272502144,0.1192725252206146,reward_guarded_adam_projection,1.371085679424191e-08,True
Hopper-v5,3888877169,180.61148536060395,198.29926015181985,17.6877747912159,0.058614961904298976,0.008396993373581966,0.8567431744254685,0.058614961904298976,0.013630314403122862,0.7674601507823691,0.013616820877344962,0.11669113452762794,reward_guarded_adam_projection,1.3424548202777687e-08,True
Hopper-v5,3466954944,213.1733874029418,213.1733874029418,0.0,0.04636604486683521,0.026918981077060523,0.4194246855781486,0.04636604486683521,0.04636604486683521,0.0,0.010830354502725209,0.10406898915010758,no_leakage,1.145568695472583e-08,True
Hopper-v5,2796825593,174.82669994217883,171.2802910197766,-3.546408922402236,0.11770198203155084,0.00787197041315092,0.9331194744788514,0.11770198203155084,0.009224728120586787,0.9216263994763144,0.009895579456370089,0.09947652716279398,reward_guarded_adam_projection,1.538012528400304e-08,True
Hopper-v5,1083410249,172.72497129289923,237.7138241998281,64.98885290692888,0.08576174684183277,0.016193048988348002,0.8111856441285852,0.08576174684183277,0.024074950595047953,0.7192810141863306,0.016685303650980005,0.12917160543625678,reward_guarded_adam_projection,1.3268974021452045e-08,True
Hopper-v5,3094989646,175.1191821463819,175.27884940924312,0.1596672628612339,0.0636602916140125,0.005268963845175395,0.9172331179831476,0.0636602916140125,0.006246105626356491,0.9018838043622528,0.001676494612928429,0.04094501939098856,reward_guarded_adam_projection,1.6434256170724658e-08,True
Hopper-v5,402019680,171.9341167937983,172.16097188220817,0.22685508840987723,0.06269356611281343,0.00580805992104943,0.9073579590193009,0.06269356611281343,0.007541490149578528,0.8797087066955475,0.004749373551335724,0.06891569887431835,reward_guarded_adam_projection,1.560034261041206e-08,True
Hopper-v5,3276696591,330.7714332575354,330.7714332575354,0.0,0.074759147303666,0.059520906128632235,0.2038311260177591,0.074759147303666,0.074759147303666,0.0,0.01787151680411813,0.13368439252253095,no_leakage,1.4640432097152467e-08,True
Hopper-v5,3507872935,171.5457506973746,172.4638039413448,0.9180532439702063,0.06142386694400141,0.004986116688164478,0.918824441764466,0.06142386694400141,0.0067395874778623565,0.8902773821777344,0.006885328451229583,0.08297787928857656,reward_guarded_adam_projection,1.5819100701723184e-08,True
Hopper-v5,2829590401,185.91948624549954,185.91948624549954,0.0,0.01510375000390467,0.013016318516484524,0.1382061730947941,0.01510375000390467,0.01510375000390467,0.0,0.010902595215314972,0.10441549317661135,no_leakage,1.4998118382635806e-08,True
