method,seed,series_id,mse,mae,poisson_nll_no_const,n,mean_count
ema,16,M80-2,1032.0304811951607,28.39638330001203,-0.48901122941280856,46,28.4375
fourier,16,M80-2,1049.3376933410452,28.553655874290193,24.041521386476564,46,28.4375
dynamic_harmonic_nb,16,M80-2,1053.2158184958735,28.58468298337255,71.62905643673437,46,28.4375
ema,17,M10-2,1059.448686323869,28.09686433620198,-0.2507681675273453,46,28.416666666666668
fourier,17,M10-2,1078.970675719501,28.24065205763984,34.62707479321134,46,28.416666666666668
dynamic_harmonic_nb,17,M10-2,677.2704059928965,21.210565398350752,45.84668965910254,46,28.416666666666668
ema,18,Y10-2,942.3851598724412,25.48321470465922,3.786175459805968,46,25.270833333333332
fourier,18,Y10-2,965.1665543067155,25.732192793521698,44.328008264837926,46,25.270833333333332
dynamic_harmonic_nb,18,Y10-2,956.6805898706439,25.59765928538731,105.98723550503196,46,25.270833333333332
ema,19,K10-2,683.9692194742837,23.01765509626807,4.571784909462499,46,23.520833333333332
fourier,19,K10-2,692.993307439103,23.102544989154655,24.47932988067305,46,23.520833333333332
dynamic_harmonic_nb,19,K10-2,450.0852311387027,17.996207636455505,46.39164232524627,46,23.520833333333332
ema,20,K20-2,672.2877753759715,23.017152593250536,4.500120401711013,46,23.520833333333332
fourier,20,K20-2,681.3606595144727,23.109195573433897,23.559356830116872,46,23.520833333333332
dynamic_harmonic_nb,20,K20-2,422.480572446629,17.482495365395895,50.81677844099454,46,23.520833333333332
ema,21,Y10-1,557.4683507195274,21.273188805701253,6.916757973571674,46,21.8125
fourier,21,Y10-1,561.7392833689884,21.33004121087537,20.284746257680204,46,21.8125
dynamic_harmonic_nb,21,Y10-1,553.3578915926855,21.149570768516043,61.51929298534255,46,21.8125
ema,22,H10,574.6910186100813,21.41991759011734,6.667629569422206,46,21.5
fourier,22,H10,584.0419992758253,21.556238483813466,19.185792964568297,46,21.5
dynamic_harmonic_nb,22,H10,345.565766944158,15.398879197302204,38.99947130580453,46,21.5
ema,23,H40,574.7768412898189,21.418955986643727,6.8065619024820805,46,21.5
fourier,23,H40,583.8103181422161,21.55203594309317,18.457343440780356,46,21.5
dynamic_harmonic_nb,23,H40,345.6149307333168,15.40830182889014,38.79868528517972,46,21.5
